Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model
20141211X62917,DCA15CA035,2014-11-24,"Valdosta, GA",Non-Fatal,N16217,2.0,Turbo Fan,0.0,12.0,1.0,146.0,Boeing: 737 824
20150507X54223,ERA15WA207,2014-11-25,"Samara, Russia",Non-Fatal,RA-02778,,,0.0,0.0,0.0,2.0,Hawker Beechcraft: B300
20141208X13517,ANC15LA005,2014-11-27,"Nikiski, AK",Non-Fatal,N9720P,1.0,Reciprocating,0.0,1.0,1.0,0.0,Piper: PA 18-150
20141202X24526,ERA15WA067,2014-12-02,"Nassau, Bahamas",,C6-REV,,Reciprocating,0.0,0.0,0.0,0.0,Piper: PA-31-350
20141203X42406,ERA15WA070,2014-12-03,"Mariquita, Colombia",Fatal,HK4464,2.0,Reciprocating,10.0,0.0,0.0,0.0,Piper: PA-31-350
20141209X20814,DCA15WA031,2014-12-08,"Krugersdorp, South Africa",,ZS-KHE,,,0.0,0.0,0.0,0.0,Hawker Beechcraft: F33 - A
20150116X52840,DCA15CA050,2014-12-11,"San Jose, CA",Non-Fatal,N481WN,2.0,Turbo Fan,0.0,0.0,1.0,80.0,Boeing: 737 7H4
20141217X43728,DCA15CA037,2014-12-13,"Baltimore, MD",Non-Fatal,N7710A,,Turbo Fan,0.0,0.0,0.0,145.0,Boeing: 737
20150121X33354,CEN15WA113,2014-12-15,"Sumburgh, United Kingdom",,G-LGNO,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Saab: SAAB 2000
20141223X05119,DCA15WA041,2014-12-16,"Ishikawa, Japan",Non-Fatal,N751AN,2.0,,0.0,10.0,2.0,243.0,Boeing: 777 223
20141227X82857,ERA15WA082,2014-12-24,"Piedecuesta, Colombia",Fatal,HK4892,1.0,Reciprocating,7.0,0.0,0.0,0.0,Cessna: T207 - A
20160601X80242,DCA15WA212,2014-12-30,"Lahore, Pakistan",,AP-BJN,,,0.0,0.0,0.0,0.0,Boeing: 737
20141231X01659,CEN15LA091,2014-12-30,"Roswell, NM",Non-Fatal,N950FE,1.0,Turbo Prop,0.0,0.0,0.0,1.0,Cessna: 208B
20150106X21946,ERA15LA090,2015-01-03,"Key West, FL",Non-Fatal,N2534X,1.0,Reciprocating,0.0,4.0,0.0,2.0,Cessna: P206
20150110X95319,DCA15WA049,2015-01-10,"Accra, Ghana",Non-Fatal,ET-AQV,,,0.0,3.0,0.0,0.0,Boeing: 737
20150122X23956,CEN15LA117,2015-01-21,"Goodland, KS",Non-Fatal,N66906,2.0,Reciprocating,0.0,0.0,0.0,1.0,Piper: PA-31-350
20150127X51324,ENG15RA006,2015-01-22,"Budapest, Hungary",,VT-ANL,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Boeing: 787-8
20150210X74239,ERA15LA125,2015-02-10,"Isla de Vieques, PR",Non-Fatal,N223PB,2.0,Reciprocating,0.0,0.0,0.0,7.0,Cessna: 402C
20150211X14605,CEN15LA140,2015-02-10,"Houston, TX",Non-Fatal,N953UW,2.0,Turbo Fan,0.0,1.0,0.0,55.0,Embraer: ERJ 190 100 IGW
20150219X14806,DCA15LA067,2015-02-15,"HONOLULU, PO",Non-Fatal,N59053,,,0.0,4.0,1.0,245.0,Boeing: 767
20150217X83924,CEN15LA144,2015-02-16,"Denver, CO",Non-Fatal,N297AT,2.0,Reciprocating,0.0,0.0,0.0,1.0,Hawker Beechcraft: 58
20150219X82450,OPS15IA011,2015-02-18,"Chicago, IL",Non-Fatal,N698CB,2.0,Turbo Fan,0.0,0.0,0.0,113.0,Embraer: EMB 145LR
20150224X45723,DCA15FA073,2015-02-24,"St. Louis, MO",Non-Fatal,N584FE,3.0,Turbo Fan,0.0,0.0,1.0,3.0,Mcdonnell Douglas: MD 11F
20150225X12013,ERA15LA135,2015-02-24,"Baltimore, MD",Non-Fatal,N989FX,1.0,Turbo Prop,0.0,0.0,0.0,1.0,Cessna: 208
20150305X42958,DCA15FA085,2015-03-05,"New York, NY",Non-Fatal,N909DL,,Turbo Fan,0.0,0.0,0.0,132.0,Mcdonnell Douglas: MD 88
20150311X21724,GAA15CA005,2015-03-10,"Muskegon, MI",Non-Fatal,N12155,1.0,Turbo Prop,0.0,0.0,0.0,1.0,Cessna: 208B
20150314X74553,DCA15IA089,2015-03-14,"Chicago, IL",Non-Fatal,N157GJ,2.0,Turbo Fan,0.0,0.0,0.0,41.0,Bombardier: CL 600 2C10
20150318X84028,ERA15WA159,2015-03-15,"Macas, Spain",Fatal,HC-CNC,,Reciprocating,1.0,0.0,0.0,0.0,Piper: PA-34-200T
20150320X15605,ERA15RA163,2015-03-19,"Punta del Este, Uruguay",Fatal,LV-CEO,2.0,Turbo Prop,10.0,0.0,0.0,0.0,Hawker Beechcraft: B90
20150324X45521,ERA15WA167,2015-03-20,"Mitu, Colombia",Fatal,HK2327,,,2.0,2.0,0.0,0.0,Cessna: TU206 - G
20150422X71127,DCA15CA108,2015-03-20,"Springfield, MO",Non-Fatal,N625AE,2.0,Turbo Prop,0.0,0.0,0.0,53.0,Embraer: EMB 145LR
20150416X33824,OPS15IA017,2015-04-12,"Miami, FL",,N342UP,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Boeing: 767 34AF
20150427X00955,ERA15RA199,2015-04-13,"North Vancouver, Canada",Fatal,C-GSKC,2.0,Turbo Prop,2.0,0.0,0.0,0.0,Swearingen: SA226-TC
20150417X55123,GAA15CA043,2015-04-16,"Greer, SC",Non-Fatal,N688AN,2.0,Turbo Prop,0.0,0.0,0.0,1.0,Short Brothers: SD 360-300
20150420X02310,CEN15LA202,2015-04-17,"Rifle, CO",Non-Fatal,N2691W,2.0,Turbo Prop,0.0,0.0,0.0,1.0,Fairchild: SA227 AC
20150521X65306,DCA15WA123,2015-04-23,"Madrid, Spain",,CN-RNZ,,,0.0,0.0,0.0,0.0,Boeing: 737 - 8B6
20150507X20449,ERA15IA206,2015-05-03,"Teterboro, NJ",Non-Fatal,N784JS,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Cessna: 525B
20150506X41316,DCA15CA118,2015-05-04,"Phoenix, AZ",Non-Fatal,N932LR,2.0,Turbo Fan,0.0,0.0,0.0,79.0,Bombardier: CL600 2D24
20150511X92031,CEN15IA225,2015-05-05,"New Orleans, LA",Non-Fatal,N941FR,2.0,Turbo Fan,0.0,0.0,0.0,136.0,Airbus: A319 112
20150526X10116,ANC15CA027,2015-05-17,"Homer, AK",Non-Fatal,N4079H,2.0,Reciprocating,0.0,0.0,0.0,8.0,Piper: PA 31-350
20150523X13659,DCA15CA125,2015-05-23,"Atlanta, GA",Non-Fatal,N334NW,2.0,Turbo Fan,0.0,0.0,1.0,146.0,Airbus: A320 212
20150618X30530,DCA15CA136,2015-05-27,"Windsor Locks, CT",Non-Fatal,G-VIIY,2.0,Turbo Fan,0.0,1.0,1.0,197.0,Boeing: 777 - 236
20150602X63158,CEN15WA248,2015-05-30,"Grenchen, Eswatini",Non-Fatal,HB-PLC,,,0.0,0.0,0.0,3.0,Piper: PA-28RT-201T
20150609X40345,ANC15LA037,2015-06-04,"Skwentna, AK",Non-Fatal,N3125N,1.0,Turbo Prop,0.0,0.0,0.0,2.0,Dehavilland: DHC-3T
20150605X52542,ENG15IA024,2015-06-05,"Windsor Locks, CT",Non-Fatal,N363PH,2.0,Turbo Prop,0.0,0.0,0.0,37.0,Bombardier: DHC 8
20150608X90730,DCA15CA129,2015-06-08,"St Petersburg, FL",Non-Fatal,N869GA,2.0,Turbo Fan,0.0,7.0,1.0,137.0,Mcdonnell Douglas: DC 9 83(MD-83)
20150611X74851,DCA15CA131,2015-06-10,"McCook, NE",Non-Fatal,N246LR,2.0,Turbo Fan,0.0,4.0,1.0,75.0,Bombardier: CL600 2D24
20150623X74917,WPR15LA198,2015-06-23,"Schafers Meadows, MT",Non-Fatal,N8424Q,1.0,Reciprocating,0.0,2.0,1.0,0.0,Cessna: TU206F
20150625X15034,ANC15MA041,2015-06-25,"Ketchikan, AK",Fatal,N270PA,1.0,Turbo Prop,9.0,0.0,0.0,0.0,Dehavilland: DHC-3
20150629X10505,ANC15CA042,2015-06-27,"Anchorage, AK",Non-Fatal,N756BW,1.0,Reciprocating,0.0,0.0,0.0,5.0,Cessna: U206G
20150701X91338,DCA15CA146,2015-06-29,"Atlanta, GA",Non-Fatal,N825MH,,,0.0,0.0,1.0,0.0,Boeing: 767 432ER
20150717X41748,DCA15CA152,2015-06-29,"Boston, MA",Non-Fatal,N335NW,2.0,Turbo Fan,0.0,0.0,1.0,155.0,Airbus: A320 212
20150701X21125,WPR15LA203,2015-06-30,"Salt Lake City, UT",Non-Fatal,N6199D,2.0,Turbo Prop,0.0,0.0,0.0,2.0,Hawker Beechcraft: C 99
20150701X91130,DCA15CA145,2015-06-30,"Salt Lake City, UT",Non-Fatal,N396DA,2.0,Turbo Fan,0.0,0.0,1.0,0.0,Boeing: 737 832
20150718X04523,ANC15FA049,2015-07-17,"Juneau, AK",Fatal,N62AK,1.0,Reciprocating,1.0,0.0,4.0,0.0,Cessna: 207A
20150806X95619,WPR15LA234,2015-07-26,"Dixie, ID",Non-Fatal,N52095,1.0,Reciprocating,0.0,0.0,0.0,4.0,Cessna: 180J
20150803X45641,CEN15LA334,2015-08-02,"Chicago, IL",Non-Fatal,N942AC,1.0,Turbo Prop,0.0,2.0,0.0,7.0,Cessna: 208B
20150805X75232,CEN15IA337,2015-08-05,"Denver, CO",Non-Fatal,N779SW,2.0,Turbo Fan,0.0,0.0,0.0,148.0,Boeing: 737
20150812X63537,WPR15LA239,2015-08-07,"South Lake Tahoe, CA",Non-Fatal,N204NN,2.0,Turbo Fan,0.0,0.0,1.0,65.0,Embraer: E175
20150811X22104,OPS15IA020,2015-08-08,"Max, NE",Non-Fatal,N332NW,2.0,Turbo Fan,0.0,0.0,0.0,124.0,Airbus: A320 211
20150818X14949,DCA15LA173,2015-08-15,"Charlotte, NC",Non-Fatal,N564UW,2.0,Turbo Fan,0.0,0.0,0.0,159.0,Airbus: A321
20150816X95657,ERA15FA313,2015-08-16,"Hicksville, NY",Fatal,N5946C,1.0,Reciprocating,1.0,0.0,1.0,0.0,Hawker Beechcraft: C35
20150921X24201,DCA15WA187,2015-08-17,"Cape Town, South Africa",Fatal,V5-NRS,,,7.0,0.0,0.0,0.0,Cessna: 441
20150824X30257,ANC15CA065,2015-08-22,"HOMER, AK",Non-Fatal,N9588B,1.0,Reciprocating,0.0,0.0,0.0,4.0,Cessna: 180
20150824X02325,DCA15CA176,2015-08-23,"Oakland, CA",Non-Fatal,N232WN,2.0,Turbo Fan,0.0,0.0,0.0,147.0,Boeing: 737 7H4
20150901X15701,CEN15WA393,2015-08-26,"Helsinki, Finland",Non-Fatal,OH-BEX,2.0,,0.0,0.0,0.0,2.0,Hawker Beechcraft: C90
20150921X31350,DCA15WA188,2015-09-05,"Tambacounda, Singapore",Fatal,3C-LLY,2.0,,7.0,0.0,0.0,112.0,Boeing: 737
20150908X35241,DCA15FA185,2015-09-08,"Las Vegas, NV",Non-Fatal,G-VIIO,2.0,Turbo Fan,0.0,19.0,1.0,150.0,Boeing: BOEING 777-236
20150917X51906,CEN15LA415,2015-09-11,"Gary, IN",Non-Fatal,N4199S,2.0,Reciprocating,0.0,0.0,0.0,1.0,Hawker Beechcraft: 58
20150914X02927,ANC15LA070,2015-09-13,"Delta Junction, AK",Non-Fatal,N6464V,1.0,Reciprocating,0.0,0.0,0.0,3.0,Helio: H 295
20150923X00156,DCA15WA198,2015-09-16,"Miami, FL",Non-Fatal,A7-BAC,,,0.0,0.0,0.0,279.0,Boeing: 777
20150922X63000,GAA15CA268,2015-09-18,"Bethel, AK",Non-Fatal,N910SP,1.0,Reciprocating,0.0,0.0,0.0,4.0,Helio: H 395
20151005X22228,DCA16CA001,2015-10-01,"Nassau, Bahamas",Non-Fatal,N9026C,2.0,Turbo Fan,0.0,4.0,2.0,73.0,Airbus: A319
20151005X35533,ENG16IA001,2015-10-02,"Russian airspace, Japan",Non-Fatal,N662US,4.0,Turbo Fan,0.0,0.0,0.0,367.0,Boeing: 747
20151022X65901,DCA16CA008,2015-10-09,"Pound Ridge, NY",Non-Fatal,N383SW,2.0,Turbo Fan,0.0,0.0,1.0,147.0,Boeing: 737 3H4
20151013X20937,WPR16LA008,2015-10-13,"Boise, ID",Non-Fatal,N8273M,1.0,Reciprocating,0.0,0.0,0.0,1.0,Cessna: T210K
20151023X50751,DCA16CA009,2015-10-21,"Dallas, TX",Non-Fatal,N183AN,2.0,Turbo Fan,0.0,0.0,1.0,166.0,Boeing: 757 223
20151026X81321,DCA16CA010,2015-10-24,"Plevna, KS",Non-Fatal,N69838,2.0,Turbo Fan,0.0,1.0,1.0,183.0,Boeing: 737-924ER
20151027X61915,DCA16WA012,2015-10-26,"Johannesburg, South Africa",Non-Fatal,ZS-OAA,,,0.0,0.0,0.0,102.0,Boeing: 737
20151029X44249,DCA16FA013,2015-10-29,"Fort Lauderdale, FL",Non-Fatal,N251MY,,Turbo Fan,0.0,21.0,1.0,79.0,Boeing: 767
20160201X83450,DCA16WA081,2015-11-01,"Kinshasa, Central Africa",Non-Fatal,9Q-CND,,,0.0,0.0,0.0,26.0,Gulfstream: G1159
20151204X01344,CEN16LA052,2015-11-03,"Chicago, IL",Non-Fatal,N732MD,1.0,Turbo Prop,0.0,0.0,0.0,9.0,Cessna: 208B
20151107X52955,DCA16CA021,2015-11-07,"Beaumont, TX",Non-Fatal,N27958,2.0,Turbo Fan,0.0,0.0,1.0,220.0,Boeing: 787
20151110X65615,CEN16MA036,2015-11-10,"Akron, OH",Fatal,N237WR,2.0,Turbo Fan,9.0,0.0,0.0,0.0,British Aerospace: HS 125 700A
20151117X75807,GAA16CA051,2015-11-17,"Portland, OR",Non-Fatal,N555RG,2.0,Reciprocating,0.0,0.0,0.0,1.0,Piper: PA 31-350
20151124X65446,DCA16CA023,2015-11-23,"Philadelphia, PA",Non-Fatal,N725UW,2.0,Turbo Fan,0.0,1.0,1.0,3.0,Airbus: A319 112
20151130X61148,DCA16CA026,2015-11-29,"St Louis, MO",Non-Fatal,N467WN,2.0,Turbo Fan,0.0,0.0,1.0,147.0,Boeing: 737 7H4
20151208X12500,DCA16WA028,2015-12-06,"Madrid, Spain",,N758AN,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Boeing: 777 223
20151213X84149,DCA16CA030,2015-12-10,"Great Falls, MT",Non-Fatal,N3014R,2.0,,0.0,0.0,1.0,5.0,Airbus: A319 115
20160112X24550,DCA16CA050,2015-12-12,"Buenos Aires, Argentina",Non-Fatal,N784AN,2.0,,0.0,0.0,1.0,12.0,Boeing: 777 223
20151216X41606,DCA16LA032,2015-12-15,"Nashville, TN",Non-Fatal,N649SW,2.0,Turbo Fan,0.0,0.0,0.0,138.0,Boeing: 737 3H4
20161021X40116,DCA16WA236,2015-12-16,"Plettenberg, Western Cape Province, South Africa",,ZS-SLS,,,0.0,0.0,0.0,0.0,Cessna: 182
20151223X30310,DCA16IA036,2015-12-19,"Seattle, WA",Non-Fatal,N477AS,2.0,Turbo Fan,0.0,0.0,0.0,153.0,Boeing: 737
20151224X81125,CEN16LA067,2015-12-23,"Telluride, CO",Non-Fatal,XA-MEX,,Turbo Fan,0.0,0.0,0.0,7.0,Hawker Beechcraft: 400
20160119X20258,DCA16CA053,2015-12-23,"Charlotte, NC",Non-Fatal,N475WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,Boeing: 737 7H4
20160119X15230,DCA16CA052,2015-12-26,"San Diego, CA",Non-Fatal,N7733B,2.0,Turbo Fan,0.0,0.0,1.0,147.0,Boeing: 737 76N
20160104X82221,CEN16LA076,2015-12-30,"Gary, IN",Non-Fatal,N999VB,2.0,Turbo Prop,0.0,0.0,0.0,9.0,Hawker Beechcraft: 200
