Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
0.0,0.0,0.0,278.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,110.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,188.0,Boeing757,106.84210526315789,Non-Fatal,
0.0,0.0,0.0,130.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
0.0,2.0,0.0,120.0,Boeing737,118.0327868852459,Non-Fatal,
0.0,0.0,0.0,83.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,86.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,361.0,Boeing777,100.0,Non-Fatal,
0.0,2.0,2.0,227.0,Boeing777,111.25541125541125,Non-Fatal,
0.0,0.0,1.0,185.0,Boeing757,101.0752688172043,Non-Fatal,
0.0,0.0,0.0,139.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,298.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,101.0,Boeing90,100.0,Non-Fatal,
0.0,0.0,0.0,66.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,185.0,Boeing757,106.95187165775401,Non-Fatal,
0.0,0.0,0.0,190.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,190.0,Boeing757,100.0,Non-Fatal,
0.0,3.0,0.0,175.0,Boeing757,118.53932584269661,Non-Fatal,
77.0,0.0,0.0,35.0,Boeing727,1750.0,Fatal-77,
0.0,0.0,0.0,144.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,319.0,Boeing777,100.0,Non-Fatal,
0.0,4.0,1.0,380.0,Boeing747,111.94805194805195,Non-Fatal,
0.0,0.0,1.0,161.0,Boeing737,101.23456790123457,Non-Fatal,
0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
0.0,0.0,2.0,272.0,Boeing777,101.45985401459853,Non-Fatal,
0.0,0.0,0.0,185.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,130.0,Boeing9,100.0,Non-Fatal,
0.0,0.0,1.0,165.0,Boeing737,101.20481927710843,Non-Fatal,
0.0,0.0,0.0,182.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,1.0,215.0,Boeing767,100.92592592592592,Non-Fatal,
0.0,0.0,0.0,394.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,231.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,129.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,1.0,151.0,Boeing757,101.3157894736842,Non-Fatal,
0.0,0.0,0.0,85.0,Boeing737,100.0,Non-Fatal,
0.0,2.0,1.0,97.0,Boeing737,124.0,Non-Fatal,
0.0,0.0,0.0,279.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,191.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,210.0,Boeing767,100.0,Non-Fatal,
0.0,3.0,1.0,132.0,Boeing737,125.73529411764706,Non-Fatal,
0.0,1.0,1.0,138.0,Boeing737,109.28571428571428,Non-Fatal,
0.0,0.0,1.0,146.0,Boeing767,101.36054421768708,Non-Fatal,
0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
127.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-127,
0.0,0.0,0.0,171.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,173.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,184.0,Boeing757,106.98924731182795,Non-Fatal,
0.0,0.0,2.0,79.0,Boeing737,104.93827160493827,Non-Fatal,
0.0,0.0,1.0,85.0,Boeing737,102.32558139534885,Non-Fatal,
0.0,3.0,1.0,252.0,Boeing777,113.671875,Non-Fatal,
0.0,0.0,0.0,120.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,76.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,273.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,157.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,151.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,220.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,108.0,Boeing717,100.0,Non-Fatal,
0.0,1.0,2.0,195.0,Boeing737,107.57575757575756,Non-Fatal,
0.0,0.0,1.0,85.0,Boeing737,102.32558139534885,Non-Fatal,
0.0,0.0,0.0,160.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,147.0,Boeing88,100.0,Non-Fatal,
0.0,0.0,0.0,137.0,Boeing82,100.0,Non-Fatal,
0.0,4.0,0.0,133.0,Boeing787,132.1167883211679,Non-Fatal,
0.0,0.0,0.0,193.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,220.0,Boeing747,100.90497737556561,Non-Fatal,
0.0,0.0,0.0,171.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,148.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,59.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,235.0,Boeing777,100.0,Non-Fatal,
3.0,137.0,50.0,117.0,Boeing777,646.9055374592834,Fatal-3,
0.0,0.0,1.0,278.0,Boeing777,100.71684587813621,Non-Fatal,
0.0,8.0,0.0,141.0,Boeing737,159.06040268456377,Non-Fatal,
0.0,14.0,1.0,130.0,Boeing737,207.58620689655172,Non-Fatal,
0.0,0.0,1.0,227.0,Boeing767,100.87719298245614,Non-Fatal,
0.0,0.0,0.0,176.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,203.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,107.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,180.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,144.0,Boeing737,101.37931034482759,Non-Fatal,
0.0,0.0,1.0,140.0,Boeing757,101.41843971631207,Non-Fatal,
0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
0.0,10.0,2.0,107.0,Boeing737,195.7983193277311,Non-Fatal,
0.0,0.0,1.0,186.0,Boeing737,101.06951871657755,Non-Fatal,
239.0,0.0,0.0,0.0,Boeing777,2500.0,Fatal-239,
0.0,0.0,1.0,143.0,Boeing737,101.38888888888889,Non-Fatal,
0.0,4.0,0.0,77.0,Boeing767,154.320987654321,Non-Fatal,
0.0,0.0,0.0,208.0,Boeing767,100.0,Non-Fatal,
295.0,0.0,0.0,0.0,Boeing777,2500.0,Fatal-295,
0.0,0.0,0.0,174.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,1.0,220.0,Boeing767,100.90497737556561,Non-Fatal,
0.0,0.0,0.0,172.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,333.0,Boeing747,100.0,Non-Fatal,
0.0,1.0,1.0,248.0,Boeing777,105.2,Non-Fatal,
0.0,12.0,1.0,146.0,Boeing737,184.27672955974842,Non-Fatal,
0.0,0.0,1.0,80.0,Boeing737,102.46913580246914,Non-Fatal,
0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
0.0,10.0,2.0,243.0,Boeing777,144.70588235294116,Non-Fatal,
0.0,4.0,1.0,245.0,Boeing767,118.39999999999999,Non-Fatal,
0.0,1.0,1.0,197.0,Boeing777,106.53266331658291,Non-Fatal,
0.0,0.0,0.0,148.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,147.0,Boeing737,100.0,Non-Fatal,
7.0,0.0,0.0,112.0,Boeing737,241.17647058823528,Fatal-7,
0.0,19.0,1.0,150.0,Boeing777,224.11764705882354,Non-Fatal,
0.0,0.0,0.0,279.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,367.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
0.0,0.0,1.0,166.0,Boeing757,101.19760479041918,Non-Fatal,
0.0,1.0,1.0,183.0,Boeing737,107.02702702702702,Non-Fatal,
0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
0.0,21.0,1.0,79.0,Boeing767,330.6930693069307,Non-Fatal,
0.0,0.0,1.0,220.0,Boeing787,100.90497737556561,Non-Fatal,
0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
0.0,0.0,0.0,138.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,153.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
0.0,0.0,1.0,143.0,Boeing737,101.38888888888889,Non-Fatal,
0.0,0.0,0.0,155.0,Boeing737,100.0,Non-Fatal,
0.0,2.0,1.0,162.0,Boeing737,114.54545454545455,Non-Fatal,
0.0,0.0,0.0,100.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,133.0,Boeing737,101.49253731343283,Non-Fatal,
0.0,3.0,0.0,51.0,Boeing737,161.11111111111111,Non-Fatal,
0.0,0.0,0.0,202.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,121.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,151.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,111.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,169.0,Boeing737,106.47058823529412,Non-Fatal,
0.0,0.0,1.0,185.0,Boeing737,101.0752688172043,Non-Fatal,
0.0,0.0,1.0,177.0,Boeing737,101.12359550561798,Non-Fatal,
0.0,0.0,0.0,157.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,134.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,168.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
0.0,0.0,0.0,104.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,178.0,Boeing737,101.1173184357542,Non-Fatal,
0.0,0.0,0.0,108.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,48.0,Boeing737,100.0,Non-Fatal,
0.0,20.0,1.0,149.0,Boeing767,230.58823529411762,Non-Fatal,
0.0,0.0,1.0,109.0,Boeing717,101.81818181818181,Non-Fatal,
0.0,0.0,0.0,200.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,5.0,351.0,Boeing777,102.80898876404494,Non-Fatal,
0.0,0.0,1.0,102.0,Boeing737,101.94174757281553,Non-Fatal,
0.0,10.0,0.0,151.0,Boeing737,168.32298136645963,Non-Fatal,
0.0,0.0,0.0,182.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,365.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,143.0,Boeing737,100.0,Non-Fatal,
