Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20130715X90030,Incident,ENG13IA033,2013-07-02,"Ugolny Airport, UN",,,Airplane,HL8275,Boeing,777,2.0,Turbo Fan,129,0.0,0.0,0.0,0.0,Unk,,0.0
20130707X83745,Accident,DCA13MA120,2013-07-06,"San Francisco, CA",Fatal,Destroyed,Airplane,HL7742,Boeing,777-200ER,2.0,Turbo Fan,129,3.0,137.0,50.0,117.0,VMC,,307.0
20130707X14623,Accident,DCA13MA121,2013-07-07,"Soldotna, AK",Fatal,Destroyed,Airplane,N93PC,Dehavilland,DHC-3,1.0,Turbo Prop,135,10.0,0.0,0.0,0.0,VMC,,10.0
20130710X74631,Accident,WPR13LA321,2013-07-10,"Fallon, NV",Non-Fatal,Substantial,Airplane,N517DJ,Raytheon Aircraft Company,A36,1.0,Reciprocating,135,0.0,4.0,0.0,0.0,VMC,,4.0
20130712X61436,Accident,DCA13CA128,2013-07-12,"Atlanta, GA",Non-Fatal,,Airplane,N863DA,Boeing,777-232,2.0,Turbo Jet,121,0.0,0.0,1.0,278.0,VMC,,279.0
20130719X52919,Accident,CEN13LA421,2013-07-17,"Chicago, IL",Non-Fatal,Substantial,Airplane,N732MD,Cessna,208B,1.0,Turbo Prop,135,0.0,0.0,0.0,11.0,VMC,,11.0
20130722X94513,Accident,ANC13LA066,2013-07-21,"King Salmon, AK",Non-Fatal,Substantial,Airplane,N499K,Cessna,T207A,1.0,Turbo Prop,135,0.0,6.0,0.0,1.0,IMC,,7.0
20130723X13256,Accident,DCA13FA131,2013-07-22,"Flushing, NY",Non-Fatal,Substantial,Airplane,N753SW,Boeing,737 7H4,2.0,Turbo Fan,121,0.0,8.0,0.0,141.0,VMC,,149.0
20130724X00828,Accident,ANC13LA068,2013-07-24,"Thorne Bay, AK",Non-Fatal,Substantial,Airplane,N4787C,Dehavilland,BEAVER DHC 2,1.0,Reciprocating,135,0.0,0.0,3.0,1.0,VMC,,4.0
20130814X24242,Accident,DCA13WA134,2013-07-31,"Batopilas, Mexico",Non-Fatal,,Airplane,N173AT,Boeing,737,,,121,0.0,14.0,1.0,130.0,,,145.0
20130819X24744,Accident,DCA13WA135,2013-07-31,"Surat Thani, Thailand",,Substantial,Airplane,HS-BRA,Boeing,737,,,NUSC,0.0,0.0,0.0,0.0,,,0.0
