,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1307,20151223X30310,DCA16IA036,2015-12-19,"Seattle, WA",Non-Fatal,N477AS,2.0,Turbo Fan,0.0,0.0,0.0,153.0,153.0,Boeing: 737
1309,20160119X20258,DCA16CA053,2015-12-23,"Charlotte, NC",Non-Fatal,N475WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing: 737 7H4
1310,20160119X15230,DCA16CA052,2015-12-26,"San Diego, CA",Non-Fatal,N7733B,2.0,Turbo Fan,0.0,0.0,1.0,147.0,148.0,Boeing: 737 76N
1313,20160106X80332,DCA16CA041,2016-01-03,"Raleigh, NC",Non-Fatal,N643RW,2.0,Turbo Fan,0.0,0.0,1.0,71.0,72.0,Embraer: ERJ 170 100 SE
1317,20160126X75122,DCA16CA070,2016-01-24,"Newark, NJ",Non-Fatal,N908DE,2.0,Turbo Fan,0.0,0.0,0.0,153.0,153.0,Mcdonnell Douglas: MD 88
1319,20160129X24835,DCA16CA077,2016-01-28,"Titusville, FL",Non-Fatal,N718SW,2.0,Turbo Fan,0.0,0.0,1.0,143.0,144.0,Boeing: 737 7H4
1324,20160216X30252,DCA16CA089,2016-02-14,"Minneapolis, MN",Non-Fatal,N827AW,2.0,Turbo Fan,0.0,0.0,1.0,104.0,105.0,Airbus: A319 132
1325,20160218X94149,DCA16CA094,2016-02-17,"Detroit, MI",Non-Fatal,N925NN,2.0,Turbo Fan,0.0,0.0,0.0,155.0,155.0,Boeing: 737
1327,20160224X73028,DCA16WA097,2016-02-23,"Chitose, Japan",Non-Fatal,JA322J,,,0.0,2.0,1.0,162.0,165.0,Boeing: 737
1328,20160225X34423,DCA16WA101,2016-02-24,"a Mitad de la Pista del Aeropuerto, Mexico",Non-Fatal,C-FIWJ,2.0,Turbo Fan,0.0,0.0,0.0,100.0,100.0,Boeing: 737
1329,20160225X92701,DCA16LA100,2016-02-24,"St Louis, MO",Non-Fatal,N856HK,,,0.0,0.0,0.0,33.0,33.0,Embraer: EMB145
1335,20160609X10842,DCA16CA181,2016-03-15,"Port Arthur, TX",Non-Fatal,N23708,2.0,Turbo Fan,0.0,0.0,1.0,133.0,134.0,Boeing: 737 724
1339,20160401X43647,DCA16WA118,2016-03-28,"Bilbao, Spain",Non-Fatal,EC-MGE,,,0.0,0.0,0.0,115.0,115.0,Airbus: A320
1340,20160407X42047,DCA16WA126,2016-04-04,"Jakarta, Indonesia",Non-Fatal,PK-LBS,,,0.0,3.0,0.0,51.0,54.0,Boeing: 737
1343,20160421X61715,DCA16WA138,2016-04-10,"Chiang Mai, Thailand",Non-Fatal,HS-LTB,2.0,,0.0,0.0,0.0,202.0,202.0,Boeing: 737
1345,20160415X02200,DCA16CA133,2016-04-14,"San Diego, CA",Non-Fatal,N565WN,2.0,Turbo Fan,0.0,0.0,0.0,121.0,121.0,Boeing: 737 76Q
1347,20160502X75955,DCA16CA139,2016-04-29,"San Francisco, CA",Non-Fatal,N961SW,2.0,Turbo Fan,0.0,0.0,0.0,30.0,30.0,Bombardier: CL 600 2B19
1348,20160506X50951,DCA16WA144,2016-05-02,"Prishtina, Suriname",Non-Fatal,TC-JFY,,,0.0,0.0,0.0,151.0,151.0,Boeing: 737
1349,20160510X42347,DCA16WA149,2016-05-03,"Ulaanbaatar, Madagascar",Non-Fatal,EI-CXV,,,0.0,0.0,0.0,111.0,111.0,Boeing: 737
1353,20160516X92239,DCA16CA153,2016-05-14,"Philadelphia, PA",Non-Fatal,N103US,2.0,Turbo Fan,0.0,0.0,1.0,140.0,141.0,Airbus: A320 214
1357,20160531X90157,DCA16WA166,2016-05-25,"Boston, MA",Non-Fatal,C-FHOS,,,0.0,0.0,0.0,65.0,65.0,Embraer: ERJ190
1358,20160531X92718,DCA16WA167,2016-05-27,"tokyo, Japan",Non-Fatal,JA85AN,,,0.0,1.0,0.0,169.0,170.0,Boeing: 737
1361,20160614X04330,DCA16CA182,2016-06-05,"Las Vegas, NV",Non-Fatal,N801DZ,2.0,Turbo Fan,0.0,0.0,1.0,185.0,186.0,Boeing: 737-932ER
1363,20160723X91246,DCA16CA202,2016-06-12,"Jamaica, NY",Non-Fatal,N104NN,2.0,Turbo Fan,0.0,0.0,1.0,109.0,110.0,Airbus: A321 231
1368,20160627X21034,DCA16CA193,2016-06-26,"New Orleans, LA",Non-Fatal,N69806,,,0.0,0.0,1.0,177.0,178.0,Boeing: 737
1371,20160707X02944,ENG16IA027,2016-07-07,"Jamaica, NY",Non-Fatal,N706TW,,Turbo Fan,0.0,0.0,0.0,157.0,157.0,Boeing: 757
1372,20160708X61700,DCA16IA200,2016-07-08,"Rapid City, SD",Non-Fatal,N333NW,2.0,Turbo Fan,0.0,0.0,0.0,129.0,129.0,Airbus: A320 211
1375,20160805X50153,DCA16CA208,2016-07-26,"Cleveland, OH",Non-Fatal,N655RW,2.0,Turbo Fan,0.0,0.0,1.0,52.0,53.0,Embraer: ERJ 170 100 SE
1380,20160805X51304,DCA16CA209,2016-08-03,"Grand Cayman Island (GCM), Cayman Islands",Non-Fatal,N9010R,2.0,,0.0,7.0,1.0,121.0,129.0,Airbus: A319 115
1381,20160805X44633,DCA16CA207,2016-08-05,"Baltimore, MD",Non-Fatal,N368SW,2.0,Turbo Fan,0.0,0.0,0.0,134.0,134.0,Boeing: 737 3H4
