,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
0,20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",Non-Fatal,CF-TLU,2.0,Turbo Fan,0.0,0.0,1.0,44.0,45.0,Mcdonnell Douglas: DC9
1,20020917X01897,CHI82IA026,1982-01-12,"CHICAGO, IL",Incident,N31031,3.0,Turbo Fan,0.0,0.0,0.0,149.0,149.0,Lockheed: L-1011
3,20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",Fatal(2),N113WA,3.0,Turbo Fan,2.0,4.0,24.0,182.0,212.0,Mcdonnell Douglas: DC-10-30
4,20020917X01910,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",Non-Fatal,N1814U,3.0,Turbo Fan,0.0,1.0,0.0,154.0,155.0,Mcdonnell Douglas: DC-10-10
5,20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,N73717,2.0,Turbo Jet,0.0,0.0,0.0,119.0,119.0,Boeing: B737-2H4
6,20020917X02151,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,XAMEJ,3.0,Turbo Jet,0.0,0.0,0.0,83.0,83.0,Boeing: B-727-200
8,20020917X02338,LAX82IA103,1982-03-10,"LONG BEACH, CA",Incident,N778JA,2.0,Turbo Fan,0.0,0.0,0.0,68.0,68.0,Mcdonnell Douglas: DC-9-82
10,20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,N7627U,3.0,Turbo Fan,0.0,0.0,0.0,108.0,108.0,Boeing: 727-200
11,20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,N32717,3.0,Turbo Fan,0.0,0.0,0.0,68.0,68.0,Boeing: 727-200
12,20020917X02421,MIA82IA102,1982-04-20,"MIAMI, FL",Incident,N333EA,3.0,Turbo Fan,0.0,0.0,0.0,152.0,152.0,Lockheed: L-1011
14,20020917X02737,ATL82DA142,1982-05-22,"MEMPHIS, TN",Non-Fatal,N9356,2.0,Turbo Jet,0.0,1.0,0.0,56.0,57.0,Mcdonnell Douglas: DC-9-15F
15,20020917X03653,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",Non-Fatal,N1833U,3.0,Turbo Fan,0.0,0.0,25.0,113.0,138.0,Mcdonnell Douglas: DC10-10
16,20020917X03237,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",Incident,N8088U,4.0,Turbo Jet,0.0,0.0,17.0,129.0,146.0,Mcdonnell Douglas: DC-8-61
17,20020917X04018,NYC82FA110,1982-05-29,ATLANTIC OCEAN,Non-Fatal,N801EV,4.0,Turbo Fan,0.0,1.0,1.0,109.0,111.0,Mcdonnell Douglas: DC8-52
19,20020917X04180,SEA82IA101,1982-07-05,"BOISE, ID",Incident,N919RW,2.0,Turbo Fan,0.0,0.0,0.0,84.0,84.0,Mcdonnell Douglas: DC-9-31
20,20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,CGAAA,3.0,Turbo Fan,0.0,0.0,0.0,74.0,74.0,Boeing: 727-233
21,20020917X03515,LAX82AA259,1982-07-16,"MORTON, WY",Non-Fatal,N1815U,3.0,Turbo Fan,0.0,7.0,19.0,142.0,168.0,Mcdonnell Douglas: DC-10-10
22,20020917X04067,NYC82IA170,1982-07-28,"FLUSHING, NY",Incident,N64323,3.0,Turbo Fan,0.0,0.0,0.0,129.0,129.0,Boeing: 727-231
23,20020917X03240,DEN82IA154,1982-08-05,"DENVER, CO",Incident,N7356F,2.0,Turbo Fan,0.0,0.0,0.0,102.0,102.0,Boeing: 737-291
24,20020917X03898,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",Incident,N7345F,2.0,Turbo Fan,0.0,0.0,33.0,0.0,33.0,Boeing: 737-291
25,20020917X03729,LAX82IA309,1982-08-21,"HONOLULU, HI",Incident,N104WA,3.0,Turbo Fan,0.0,0.0,0.0,393.0,393.0,Mcdonnell Douglas: DC-10-30F
26,20020917X04491,DCA82IA031,1982-09-02,"WASHINGTON, DC",Incident,N288WA,3.0,Turbo Fan,0.0,1.0,1.0,128.0,130.0,Boeing: 727
27,20020917X04495,DCA83IA002,1982-10-18,"HOUSTON, TX",Incident,N536TX,2.0,Turbo Fan,0.0,0.0,0.0,65.0,65.0,Mcdonnell Douglas: DC-9-30
28,20020917X04699,FTW83LA033,1982-11-02,"AUSTIN, TX",Non-Fatal,N55SW,2.0,Turbo Fan,0.0,1.0,0.0,67.0,68.0,Boeing: 737-200
31,20020917X04534,DEN83FA021,1982-11-18,"DENVER, CO",Non-Fatal,N68056,3.0,Turbo Fan,0.0,0.0,0.0,136.0,136.0,Mcdonnell Douglas: DC-10
33,20020917X04910,MIA83FA036,1982-11-27,"MIAMI, FL",Non-Fatal,HK284,4.0,Turbo Fan,0.0,0.0,0.0,116.0,116.0,Boeing: 707-323C
37,20020917X04570,DEN83LA026,1982-12-09,"DENVER, CO",Non-Fatal,N7346F,2.0,Turbo Fan,0.0,0.0,0.0,57.0,57.0,Boeing: 737-291
38,20020917X04437,CHI83IA063,1982-12-18,"PELLSTON, MI",Incident,N9344,2.0,Turbo Fan,0.0,0.0,0.0,51.0,51.0,Mcdonnell Douglas: DC9-30
39,20020917X04672,FTW83IA086,1982-12-26,"MEMPHIS, TN",Incident,N6810,3.0,Turbo Fan,0.0,0.0,0.0,58.0,58.0,Boeing: 727-223
40,20020917X04343,ATL83IA085,1982-12-28,"WASHINGTON, DC",Incident,N752N,2.0,Turbo Jet,0.0,0.0,0.0,73.0,73.0,Boeing: 737-222
41,20020917X04671,FTW83IA072,1982-12-30,"THERMAL, CA",Incident,N137AA,3.0,Turbo Fan,0.0,0.0,14.0,203.0,217.0,Mcdonnell Douglas: DC-10-30
42,20001214X42478,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",Incident,N323EA,3.0,Turbo Fan,0.0,0.0,0.0,588.0,588.0,Lockheed: L-1011
43,20001214X42478,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",Incident,9VSQQ,4.0,Turbo Fan,0.0,0.0,0.0,588.0,588.0,Boeing: 747
44,20001214X44248,MIA83IA210,1983-08-21,"NORFOLK, VA",Incident,N69NA,3.0,Turbo Fan,0.0,0.0,0.0,289.0,289.0,Mcdonnell Douglas: DC-10-10
45,20001214X45013,CHI84IA041,1983-11-08,"CHICAGO, IL",Incident,N898AA,3.0,Turbo Fan,0.0,0.0,0.0,100.0,100.0,Boeing: 727-200
46,20001214X39980,LAX84LA349,1984-06-11,"LOS ANGELES, CA",Non-Fatal,N501PA,3.0,Turbo Fan,0.0,0.0,0.0,157.0,157.0,Lockheed: L-1011-385-3
47,20001213X33489,BFO86IA031A,1986-05-30,"CALVERTON, NY",Incident,N1310T,2.0,Turbo Fan,0.0,0.0,0.0,69.0,69.0,Mcdonnell Douglas: DC-9-31
48,20001213X30244,FTW87RA066,1987-02-14,"DURANGO, Mexico",Fatal(1),N712PC,4.0,Turbo Jet,1.0,0.0,3.0,131.0,135.0,Boeing: 707-323B
49,20001213X25535,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Non-Fatal,N510EA,2.0,Unknown,0.0,1.0,0.0,192.0,193.0,Boeing: 757-225
50,20001213X25661,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Incident,N157UA,4.0,Turbo Fan,0.0,0.0,0.0,258.0,258.0,Boeing: 747-123
51,20001213X27315,MIA89WA071,1988-11-14,"PANAMA CITY, Panama",Non-Fatal,N205PA,0.0,Unknown,0.0,1.0,4.0,222.0,227.0,Airbus: A-300B4-203
52,20001213X27446,LAX89LA068,1988-12-23,"Midway Islands, PO",Non-Fatal,N146UA,4.0,Turbo Fan,0.0,1.0,1.0,220.0,222.0,Boeing: 747SP-21
55,20001212X17360,NYC91IA137,1991-06-06,"BOSTON, MA",Incident,N750UA,3.0,Turbo Fan,0.0,0.0,0.0,156.0,156.0,Boeing: 727-214
57,20001211X14270,DCA92MA025,1992-03-22,"FLUSHING, NY",Fatal(27),N485US,2.0,Turbo Fan,27.0,9.0,12.0,3.0,51.0,Fokker: 28-4000
58,20001211X15125,DCA92MA044,1992-07-30,"JAMAICA, NY",Non-Fatal,N11002,3.0,Turbo Fan,0.0,1.0,9.0,282.0,292.0,Lockheed: L-1011-385-1
59,20001207X03162,MIA95LA086A,1995-03-12,SAN JUAN,Non-Fatal,N724DA,3.0,Turbo Fan,0.0,0.0,0.0,339.0,339.0,Lockheed: L-1011-385
60,20001207X03162,MIA95LA086B,1995-03-12,SAN JUAN,Non-Fatal,N376MQ,2.0,Turbo Prop,0.0,0.0,0.0,339.0,339.0,Short Brothers: SD3-60
62,20001207X03526,NYC95IA114B,1995-05-19,"NEWARK, NJ",Incident,N13624,2.0,Turbo Fan,0.0,0.0,0.0,288.0,288.0,Boeing: 737-500
63,20001207X03526,NYC95IA114A,1995-05-19,"NEWARK, NJ",Incident,LNRCK,2.0,Turbo Fan,0.0,0.0,0.0,288.0,288.0,Boeing: 767-383ER
65,20001207X04990,DCA96RA020,1995-12-20,"BUGA, Colombia",Fatal(160),N651AA,,Unknown,160.0,4.0,0.0,0.0,164.0,Boeing: B757
66,20001208X06203,DCA96MA068,1996-07-06,"PENSACOLA, FL",Fatal(2),N927DA,2.0,Turbo Jet,2.0,2.0,3.0,137.0,144.0,Mcdonnell Douglas: MD-88
67,20001208X06865,DCA97WA004,1996-10-31,"SAO PAULO, Brazil",Fatal(97),,,Unknown,97.0,4.0,2.0,0.0,103.0,Fokker: 100
68,20001208X07016,DCA97WA005,1996-11-06,"BUENOS AIRES, Argentina",Incident,N271W,,Unknown,0.0,0.0,0.0,282.0,282.0,Mcdonnell Douglas: MD-11
69,20001208X07017,DCA97WA011,1996-11-23,"COMORSO ISLANDS, Ethiopia",Fatal(125),,,Unknown,125.0,44.0,2.0,4.0,175.0,Boeing: 767
70,20010711X01386,DCA97WA029,1997-02-15,"Panama City, Panama",Incident,,,,0.0,0.0,0.0,63.0,63.0,Boeing: 737
73,20001208X07906,FTW97LA177,1997-05-04,"DENVER, CO",Non-Fatal,N217US,2.0,Turbo Jet,0.0,1.0,0.0,96.0,97.0,Boeing: 737-201
74,20001208X07895,DCA97WA045,1997-05-08,"SHENZHEN, China",Fatal(35),,,Unknown,35.0,0.0,0.0,0.0,35.0,Boeing: 737-300
75,20001208X07896,DCA97WA047A,1997-05-14,"LONDON, United Kingdom",Non-Fatal,,4.0,Turbo Fan,0.0,0.0,0.0,573.0,573.0,Boeing: 747-400
76,20001208X07896,DCA97WA047B,1997-05-14,"LONDON, UNITED KINGDOM",Non-Fatal,N770UA,2.0,Turbo Fan,0.0,0.0,0.0,573.0,573.0,Boeing: B777
77,20001208X08067,ATL97WA079,1997-06-03,"ASUNCION, Paraguay",Non-Fatal,N651UA,,Unknown,0.0,1.0,0.0,122.0,123.0,Boeing: 767-300
79,20001208X08313,CHI97IA212,1997-07-12,"MEMPHIS, TN",Incident,N9348,2.0,Turbo Jet,0.0,0.0,0.0,75.0,75.0,Mcdonnell Douglas: DC-9-15
81,20001208X08714,MIA97WA226,1997-08-02,"LIMA, Peru",Fatal(1),N12114,,Unknown,1.0,0.0,0.0,149.0,150.0,Boeing: 757-200
82,20001208X08606,DCA97MA058,1997-08-06,"NIMITZ HILL, GU",Fatal(228),H7468,4.0,Turbo Fan,228.0,26.0,0.0,0.0,254.0,Boeing: 747-300
87,20001208X09165,DCA98WA039,1997-11-23,"PARIS, France",Incident,,,Unknown,0.0,0.0,0.0,138.0,138.0,Mcdonnell Douglas: MD-83
89,20001211X09413,DCA98RA016,1998-01-09,"LONDON, United Kingdom",Non-Fatal,N653UA,,Turbo Fan,0.0,1.0,4.0,87.0,92.0,Boeing: 767-322ER
92,20001211X09650,DCA98WA027,1998-03-03,"MEXICO CITY, MEXICO",Non-Fatal,,,Unknown,0.0,0.0,0.0,51.0,51.0,Fokker: F-100
93,20001211X09657,DCA99WA029,1998-03-08,"MANCHESTER, United Kingdom",Incident,N68065,,Unknown,0.0,0.0,0.0,253.0,253.0,Mcdonnell Douglas: DC-10-30
97,20001211X10281,DCA98WA051,1998-06-06,"ANTALYA, France",Non-Fatal,,,Unknown,0.0,0.0,0.0,173.0,173.0,Mcdonnell Douglas: MD-83
107,20001211X11042,DCA99WA003,1998-09-12,,Incident,,,Unknown,0.0,0.0,0.0,200.0,200.0,Boeing: 767
110,20001211X11485,MIA99WA029,1998-11-11,"CONCEPCION, Bolivia",Non-Fatal,N784UA,,Turbo Fan,0.0,1.0,0.0,227.0,228.0,Boeing: 777-222B
111,20001211X11409,DCA99WA022,1998-11-11,"MELBOURNE, Australia",Incident,,,Unknown,0.0,0.0,1.0,30.0,31.0,Saab: 340
115,20001211X11543,DCA99WA027,1998-12-28,"CURITBA, BRAZIL",Incident,,,Unknown,0.0,0.0,0.0,40.0,40.0,Embraer: EMB-145
116,20001204X00044,DCA99WA031,1999-01-15,"LONDON, UNITED KINGDOM",Non-Fatal,N373AA,,Turbo Fan,0.0,0.0,0.0,91.0,91.0,Boeing: 767-300
123,20001205X00298,DCA99WA049,1999-03-10,"CALGARY, Canada",Incident,N8873Z,,Unknown,0.0,0.0,0.0,96.0,96.0,Boeing: 727-200
125,20001212X18964,DCA99WA061,1999-06-09,"ZHANJIANG, CHINA",Non-Fatal,,,Unknown,0.0,0.0,4.0,71.0,75.0,Boeing: 737-300
126,20001212X18965,DCA99WA062,1999-06-09,"TEGUCIGALPA, Honduras",Incident,N697AN,,Unknown,0.0,0.0,0.0,94.0,94.0,Boeing: 757
132,20001212X19473,DCA99WA072,1999-08-08,"SHANGHAI, CHINA",Non-Fatal,,,Unknown,0.0,0.0,0.0,191.0,191.0,Mcdonnell Douglas: MD-11
134,20001212X19469,DCA99RA073,1999-08-23,"HONG KONG, China",Non-Fatal,,,Unknown,0.0,0.0,200.0,117.0,317.0,Mcdonnell Douglas: MD-11
135,20001212X19475,DCA99WA080,1999-08-24,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,191.0,191.0,Boeing: 767
140,20001212X20085,DCA00WA007,1999-11-05,"LONDON, UNITED KINGDOM",Non-Fatal,N784UA,,Turbo Fan,0.0,0.0,0.0,274.0,274.0,Boeing: 777-200
141,20001212X20217,CHI00WA045,1999-12-13,"LONDON, United Kingdom",Non-Fatal,N786UA,,Turbo Fan,0.0,1.0,5.0,185.0,191.0,Boeing: 777-222
142,20001212X20221,DCA00WA016,1999-12-21,"GUATEMALA CITY, Guatemala",Fatal(18),,,Unknown,18.0,10.0,47.0,261.0,336.0,Mcdonnell Douglas: DC-10-30
143,20001212X20342,DCA00WA018,2000-01-02,"AMSTERDAM, Netherlands",Incident,,,Unknown,0.0,0.0,0.0,143.0,143.0,Boeing: 737-3K2
144,20001212X20343,DCA00WA022,2000-01-30,"ABIDJAN, Cote D'ivoire",Fatal(169),,,Unknown,169.0,0.0,10.0,0.0,179.0,Airbus: A 310
147,20001212X20476,DCA00WA029,2000-02-27,"PORTO ALEGRE, BRAZIL",Non-Fatal,,,Unknown,0.0,0.0,0.0,123.0,123.0,Boeing: B737-400
148,20001212X20606,DCA00MA030,2000-03-05,"BURBANK, CA",Non-Fatal,N668SW,2.0,Turbo Fan,0.0,2.0,42.0,98.0,142.0,Boeing: 737-300
154,20001212X20792,DCA00WA040,2000-04-19,"SAMAL ISLAND, Philippines",Fatal(131),,,Unknown,131.0,0.0,0.0,0.0,131.0,Boeing: 737-200
157,20001212X21079,MIA00LA169,2000-05-20,"NASHVILLE, TN",Non-Fatal,N522SW,,Turbo Fan,0.0,1.0,0.0,123.0,124.0,Boeing: 737-500
158,20001212X20969,DCA00WA054,2000-05-25,"PARIS, FRANCE",Non-Fatal,,,Unknown,0.0,0.0,0.0,153.0,153.0,Mcdonnell Douglas: MD-80
161,20001212X21426,DCA00WA074,2000-07-23,"MONTREAL, Canada",Incident,,,Unknown,0.0,0.0,380.0,0.0,380.0,Boeing: 747-2B6B
163,20001212X22138,CHI01WA014,2000-10-10,"PARIS, France",Non-Fatal,N234NW,,Turbo Fan,0.0,2.0,5.0,197.0,204.0,Mcdonnell Douglas: DC-10-30
164,20001212X22275,DCA01WA004,2000-11-15,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,97.0,97.0,Boeing: 757-200
166,20010216X00462,NYC01LA076,2000-12-27,"Boston, MA",Non-Fatal,N155DL,2.0,Turbo Fan,0.0,1.0,0.0,79.0,80.0,Boeing: 767-300ER
167,20010130X00371,DCA01WA013,2001-01-09,"BUENOS AIRES, ARGENTINA",Non-Fatal,,,,0.0,0.0,0.0,144.0,144.0,Boeing: 727-200
169,20010226X00510,NYC01LA075A,2001-02-03,"BOSTON, MA",Non-Fatal,N3735D,2.0,Turbo Fan,0.0,0.0,0.0,135.0,135.0,Boeing: B-737-832
170,20010226X00510,NYC01LA075B,2001-02-03,"Boston, MA",Non-Fatal,N802US,2.0,Turbo Fan,0.0,0.0,0.0,135.0,135.0,Mcdonnell Douglas: MD-81
176,20010919X01964,ATL01WA106,2001-09-07,"Buenos Aires, Argentina",Non-Fatal,N194DN,,,0.0,1.0,0.0,89.0,90.0,Boeing: B767-332
177,20020123X00104,DCA01MA063,2001-09-11,"New York City, NY",Fatal(65),N612UA,2.0,Turbo Fan,65.0,0.0,0.0,0.0,65.0,Boeing: 767-200ER
178,20020125X00135,CHI02LA069,2002-01-24,"Indianapolis, IN",Non-Fatal,N754NW,2.0,Turbo Jet,0.0,1.0,0.0,74.0,75.0,Mcdonnell Douglas: DC-9-41
181,20020621X00955,CHI02LA170,2002-06-16,"KANSAS CITY, MO",Non-Fatal,N140NJ,2.0,Turbo Fan,0.0,0.0,0.0,123.0,123.0,Mcdonnell Douglas: DC-9-82
182,20021029X05398,NYC03LA004,2002-10-14,"ALBANY, NY",Non-Fatal,N847EX,2.0,Turbo Prop,0.0,0.0,0.0,33.0,33.0,Dehavilland: DHC-8-102
183,20030305X00289,SEA03WA033,2003-02-01,"VANCOUVER, BC, CANADA",Non-Fatal,N764AS,,,0.0,0.0,0.0,101.0,101.0,Boeing: 737-400
184,20030902X01433,NYC03CA169,2003-07-22,"Wadsworth, OH",Non-Fatal,N504US,2.0,Turbo Fan,0.0,1.0,2.0,110.0,113.0,Boeing: 757-251
185,20030910X01507,NYC03FA186,2003-09-02,"JAMAICA, NY",Non-Fatal,N454AA,2.0,Turbo Jet,0.0,0.0,0.0,138.0,138.0,Mcdonnell Douglas: DC-9-82
187,20031105X01861,NYC04CA003,2003-10-04,"BOSTON, MA",Non-Fatal,N972AN,2.0,Turbo Fan,0.0,0.0,0.0,76.0,76.0,Boeing: 737
190,20060111X00048,DCA04MA061,2004-07-25,"Miami, FL",Non-Fatal,N797AN,2.0,Turbo Fan,0.0,1.0,0.0,216.0,217.0,Boeing: 777
194,20050323X00356,NYC05FA054,2005-03-02,"NEWARK, NJ",Non-Fatal,N78008,2.0,Turbo Fan,0.0,0.0,0.0,214.0,214.0,Boeing: 777-200
195,20050318X00330,DCA05WA042,2005-03-11,"BUENOS AIRES, ARGENTINA",Non-Fatal,N790AN,,,0.0,0.0,8.0,201.0,209.0,Boeing: B777
196,20050502X00534,DEN05IA071,2005-04-25,"Denver, CO",Incident,N789TM,2.0,Turbo Jet,0.0,0.0,0.0,98.0,98.0,Boeing: 737-282
197,20051213X01965,CHI05MA111B,2005-05-10,"MINNEAPOLIS, MN",Non-Fatal,N368NB,2.0,Turbo Fan,0.0,1.0,7.0,137.0,145.0,Airbus: A-319-114
198,20051213X01965,CHI05MA111A,2005-05-10,"MINNEAPOLIS, MN",Non-Fatal,N763NC,2.0,Turbo Fan,0.0,1.0,7.0,137.0,145.0,Mcdonnell Douglas: DC-9-51
199,20050523X00653,NYC05MA083,2005-05-12,"Union Star, MO",Incident,N910ME,2.0,Turbo Fan,0.0,0.0,0.0,80.0,80.0,Boeing: 717-200
200,20081003X62950,DCA05WA067,2005-05-20,"LONDON, UNITED KINGDOM",Non-Fatal,N864DA,,,0.0,0.0,0.0,309.0,309.0,Boeing: B-777-232
201,20051028X01749,DCA05MA083,2005-07-11,"Raleigh-Durham, NC",Non-Fatal,N113DA,2.0,Turbo Fan,0.0,1.0,0.0,186.0,187.0,Boeing: 767-232
202,20050817X01269,DFW05IA200B,2005-08-03,"Denver, CO",Incident,N472UA,2.0,Turbo Fan,0.0,0.0,0.0,324.0,324.0,Airbus: A320-232
203,20050817X01269,DFW05IA200A,2005-08-03,"Denver, CO",Incident,N496UA,2.0,Turbo Fan,0.0,0.0,0.0,324.0,324.0,Airbus: A320-232
204,20050825X01313,IAD05LA118B,2005-08-08,"NEWARK, NJ",Non-Fatal,N10575,2.0,Turbo Jet,0.0,0.0,0.0,205.0,205.0,Embraer: EMB-145LR
205,20050825X01313,IAD05LA118A,2005-08-08,"NEWARK, NJ",Non-Fatal,N73270,2.0,Turbo Jet,0.0,0.0,0.0,205.0,205.0,Boeing: 737-824
206,20050921X01501,DCA05MA095,2005-08-19,"AGANA, GU",Non-Fatal,N627US,4.0,Turbo Fan,0.0,0.0,2.0,338.0,340.0,Boeing: 747-200
207,20050927X01540,LAX05IA312,2005-09-21,"Los Angeles, CA",Incident,N536JB,2.0,Turbo Jet,0.0,0.0,0.0,146.0,146.0,Airbus: A320
208,20051101X01767,DCA06WA001,2005-10-30,"Calgary, Canada",Incident,N317AS,,,0.0,0.0,0.0,119.0,119.0,Boeing: 737-900
209,20051206X01938,DCA06WA008A,2005-11-06,"HEATHROW IAP, UNITED KINGDOM",Non-Fatal,N781AN,,,0.0,0.0,0.0,243.0,243.0,Boeing: B-777
211,20060330X00368,DEN06IA051,2006-03-21,"Denver, CO",Incident,N574AA,2.0,Turbo Fan,0.0,0.0,0.0,138.0,138.0,Mcdonnell Douglas: DC-9-82
213,20060425X00482,DCA06WA035,2006-04-19,"Shanghai, China",Non-Fatal,N216UA,,,0.0,1.0,4.0,232.0,237.0,Boeing: 777
217,20061015X01521,NYC06LA222B,2006-09-08,"NEW YORK, NY",Non-Fatal,N864RW,2.0,Turbo Fan,0.0,0.0,0.0,179.0,179.0,Embraer: EMB-170
218,20061015X01521,NYC06LA222A,2006-09-08,"New York, NY",Non-Fatal,C-GJTA,2.0,Turbo Fan,0.0,0.0,0.0,179.0,179.0,Airbus: A319-112
220,20070426X00458,CHI07FA020B,2006-11-07,"CHICAGO, IL",Non-Fatal,N328UA,,,0.0,0.0,0.0,216.0,216.0,Boeing: 737-300
221,20070426X00458,CHI07FA020A,2006-11-07,"Chicago, IL",Non-Fatal,N428UA,2.0,Turbo Fan,0.0,0.0,0.0,216.0,216.0,Airbus: A-320-200
222,20070111X00042,LAX07LA064B,2006-12-26,"SAN DIEGO, CA",Non-Fatal,N673AA,2.0,Turbo Fan,0.0,0.0,0.0,208.0,208.0,Boeing: 737-3A4
223,20061227X01849,MIA07IA031,2006-12-26,"Miami, FL",Incident,G-BNLM,4.0,Turbo Fan,0.0,0.0,0.0,368.0,368.0,Boeing: 747-436
224,20070111X00042,LAX07LA064A,2006-12-26,"San Diego, CA",Non-Fatal,N207WN,2.0,Turbo Fan,0.0,0.0,0.0,208.0,208.0,Boeing: 737-7H4
225,20081219X65333,ENG07WA028,2007-01-07,"JFK, NY",Incident,,3.0,Turbo Fan,0.0,0.0,0.0,253.0,253.0,Mcdonnell Douglas: MD11
226,20080513X00660,ENG07RA014,2007-02-26,"LONDON, UNITED KINGDOM",Non-Fatal,N786UA,,,0.0,0.0,0.0,205.0,205.0,Boeing: 777-200B
228,20070501X00494,DCA07FA037,2007-04-12,"TRAVERSE CITY, MI",Non-Fatal,N8905F,2.0,Turbo Fan,0.0,0.0,0.0,52.0,52.0,Bombardier: CL-600-2B19
229,20070520X00598,NYC07LA105,2007-04-25,"La Plata, MD",Non-Fatal,N648SW,2.0,Turbo Fan,0.0,1.0,0.0,102.0,103.0,Boeing: 737-300
230,20070510X00542,MIA07IA088,2007-05-02,"Atlanta, GA",Incident,N270AX,3.0,Turbo Fan,0.0,0.0,0.0,306.0,306.0,Mcdonnell Douglas: DC-10-30
231,20070601X00676,NYC07LA121,2007-05-18,"SYRACUSE, NY",Non-Fatal,N1799U,2.0,Turbo Jet,0.0,0.0,0.0,99.0,99.0,Mcdonnell Douglas: DC-9-31
232,20070627X00819,LAX07IA191,2007-06-13,"Phoenix, AZ",Incident,N7264V,2.0,Turbo Fan,0.0,0.0,0.0,53.0,53.0,Bombardier: CL-600-2B19
233,20070705X00879,CHI07FA184B,2007-06-27,"CHICAGO, IL",Non-Fatal,N9630A,2.0,Turbo Fan,0.0,0.0,0.0,501.0,501.0,Mcdonnell Douglas: MD 83
234,20070705X00879,CHI07FA184A,2007-06-27,"Chicago, IL",Non-Fatal,N213UA,2.0,Turbo Fan,0.0,0.0,0.0,501.0,501.0,Boeing: 777-222
235,20070911X01360,MIA07CA119,2007-07-12,"Atlanta, GA",Non-Fatal,N865DA,2.0,Turbo Fan,0.0,1.0,0.0,250.0,251.0,Boeing: 777-232
236,20071005X01522,DCA07MA310,2007-09-28,"ST. LOUIS, MO",Non-Fatal,N454AA,2.0,Turbo Fan,0.0,0.0,0.0,143.0,143.0,Mcdonnell Douglas: DC-9-82 (MD-82)
237,20071023X01635,CHI08IA026,2007-10-09,"Chicago, IL",Incident,N431UA,2.0,Turbo Fan,0.0,0.0,2.0,125.0,127.0,Airbus: A320-232
238,20071023X01634,CHI08IA022,2007-10-20,"Fargo, ND",Incident,N331NW,2.0,Turbo Jet,0.0,0.0,0.0,138.0,138.0,Airbus: A320-211
240,20071231X02010,ENG08IA002,2007-11-17,"Greenville, TX",Incident,N676SW,2.0,Turbo Fan,0.0,0.0,0.0,138.0,138.0,Boeing: 737-300
242,20071231X02013,CHI08FA050,2007-12-14,"Chicago, IL",Non-Fatal,N220UA,2.0,Turbo Fan,0.0,1.0,0.0,263.0,264.0,Boeing: 777-222
243,20071217X01939,DCA08FA018,2007-12-16,"PROVIDENCE, RI",Non-Fatal,N470ZW,2.0,Turbo Fan,0.0,0.0,0.0,34.0,34.0,Bombardier: CL600-2B19
244,20081003X62958,DCA08IA019,2007-12-17,"Jamaica, NY",Incident,N272SK,2.0,,0.0,0.0,0.0,53.0,53.0,Embraer: 145
245,20080107X00025,SEA08LA051,2007-12-25,"Honolulu, HI",Non-Fatal,N819NW,2.0,Turbo Fan,0.0,1.0,3.0,291.0,295.0,Airbus: A330-323
246,20080107X00024,SEA08LA050,2007-12-25,"Ontario, CA",Non-Fatal,N943AS,2.0,Turbo Fan,0.0,2.0,0.0,112.0,114.0,Mcdonnell Douglas: DC-9-83
249,20080111X00039,DCA08WA025,2008-01-07,"Bangkok, Thailand",Non-Fatal,OJM,,,0.0,0.0,0.0,334.0,334.0,Boeing: 747-400
250,20080122X00088,CHI08IA065,2008-01-08,"Lincoln, NE",Non-Fatal,N733TW,2.0,Turbo Fan,0.0,0.0,0.0,38.0,38.0,Boeing: 737-2H4
251,20080125X00103,CHI08LA071,2008-01-09,"Detroit, MI",Non-Fatal,N349NB,2.0,Turbo Fan,0.0,0.0,0.0,73.0,73.0,Airbus: A319-114
252,20080122X00081,DCA08WA026,2008-01-10,"Penicton, Canada",Non-Fatal,C-GBHZ,,,0.0,11.0,0.0,77.0,88.0,Airbus: 319
255,20080118X00073,SEA08LA061,2008-01-14,"San Francisco, CA",Non-Fatal,N705SK,2.0,Turbo Fan,0.0,0.0,0.0,61.0,61.0,Bombardier: CL-600-2C10
257,20080117X00065,DCA08RA028,2008-01-17,"London, United Kingdom",Non-Fatal,G-YMMM,,,0.0,2.0,0.0,191.0,193.0,Boeing: 777-236ER
