Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region,Severity_Score,extracted_value
20090909X82446,ENG09IA014,2009-09-08,"Los Angeles, CA",Non-Fatal,N670SW,2.0,Turbo Fan,0.0,0.0,0.0,142.0,142.0,Boeing737,Los Angeles,California,100.0,Boeing
20090921X73211,ENG09IA018,2009-09-18,"Newark, NJ",Non-Fatal,N66051,2.0,,0.0,0.0,0.0,235.0,235.0,Boeing767,Newark,New Jersey,100.0,Boeing
20091028X00540,ENG10WA002,2009-09-29,"Birgi, Trapani, Sicily, Italy, Italy",Non-Fatal,EI-DWD,2.0,,0.0,0.0,0.0,171.0,171.0,Boeing737,Birgi,"Trapani, Sicily, Italy, Italy",100.0,Boeing
20091020X14635,ERA10CA022,2009-10-05,"Unknown, Argentina",Non-Fatal,N156DL,2.0,Turbo Fan,0.0,0.0,1.0,231.0,232.0,Boeing767,Unknown,Argentina,100.86206896551724,Boeing
20091020X05636,OPS10IA001,2009-10-19,"Atlanta Hartsfield Intl. Apt. (KATL), GA",Non-Fatal,N185DN,2.0,Turbo Fan,0.0,0.0,0.0,194.0,194.0,Boeing767,Atlanta Hartsfield Intl. Apt. (Katl),Georgia,100.0,Boeing
20091028X64340,DCA10WA003,2009-10-19,"Manchester, United Kingdom",Non-Fatal,G-CELI,,,0.0,0.0,0.0,102.0,102.0,Boeing737,Manchester,United Kingdom,100.0,Boeing
20091030X64143,ERA10LA041,2009-10-26,"Pleasant Grove, NC",Non-Fatal,N935AT,2.0,Turbo Fan,0.0,1.0,1.0,120.0,122.0,Boeing717,Pleasant Grove,North Carolina,110.65573770491804,Boeing
20091124X94107,DCA10FA012,2009-11-19,"New Market, WV",Non-Fatal,N209UA,2.0,Turbo Fan,0.0,1.0,1.0,198.0,200.0,Boeing777,New Market,West Virginia,106.5,Boeing
20091214X41802,DCA10IA015,2009-12-14,"Charlotte, NC",Non-Fatal,N483A,2.0,,0.0,0.0,0.0,115.0,115.0,,Charlotte,North Carolina,100.0,Boeing
20100107X40353,DCA10WA019,2010-01-04,"Hahn, Germany",Non-Fatal,EI-DAK,2.0,,0.0,5.0,0.0,148.0,153.0,Boeing737,Hahn,Germany,135.94771241830065,Boeing
20100129X00036,DCA10WA026,2010-01-19,"Padang, Indonesia",Non-Fatal,PK-LFM,2.0,,0.0,0.0,0.0,209.0,209.0,Boeing737,Padang,Indonesia,100.0,Boeing
20100126X35439,DCA10RA023,2010-01-25,"Beirut, Lebanon",Fatal,ET-ANB,2.0,,90.0,0.0,0.0,0.0,90.0,Boeing737,Beirut,Lebanon,2500.0,Boeing
20100216X20235,WPR10LA134,2010-02-13,"Santa Clarita, CA",Non-Fatal,N221WN,2.0,Turbo Fan,0.0,1.0,1.0,83.0,85.0,Boeing737,Santa Clarita,California,115.29411764705881,Boeing
20100305X52436,DCA10WA035,2010-02-13,"SURABAYA, Indonesia",Non-Fatal,PK-YTR,2.0,,0.0,0.0,0.0,125.0,125.0,Boeing737,Surabaya,Indonesia,100.0,Boeing
20100222X84927,DCA10CA032,2010-02-19,"Anchorage, AK",Non-Fatal,N173UA,4.0,Turbo Fan,0.0,25.0,1.0,236.0,262.0,Boeing747,Anchorage,Alaska,205.72519083969465,Boeing
20111122X95137,DCA12WA015,2010-03-01,"Brussels, Belgium",Non-Fatal,EIDYI,,,0.0,0.0,0.0,146.0,146.0,Boeing737,Brussels,Belgium,100.0,Boeing
20100330X00627,OPS10IA020,2010-03-27,"San Francisco, CA",Non-Fatal,N216UA,2.0,Turbo Fan,0.0,0.0,0.0,268.0,268.0,Boeing777,San Francisco,California,100.0,Boeing
20100412X21857,DCA10WA049,2010-04-08,"Paris, France",Non-Fatal,B-HOV,4.0,,0.0,0.0,0.0,326.0,326.0,Boeing747,Paris,France,100.0,Boeing
20100410X34740,WPR10FA199,2010-04-10,"Los Angeles, CA",Non-Fatal,N624SW,2.0,Turbo Fan,0.0,0.0,0.0,109.0,109.0,Boeing737,Los Angeles,California,100.0,Boeing
20100414X04022,DCA10WA052,2010-04-13,"Keflavik, Iceland",Non-Fatal,N380AN,2.0,Turbo Fan,0.0,5.0,0.0,140.0,145.0,Boeing767,Keflavik,Iceland,137.93103448275863,Boeing
20100503X92217,OPS10IA132,2010-04-28,"Houston, TX",Non-Fatal,N242WN,2.0,Turbo Fan,0.0,0.0,0.0,140.0,140.0,Boeing737,Houston,Texas,100.0,Boeing
20100507X94749,CEN10LA240,2010-04-30,"Fort Dodge, IA",Non-Fatal,N320AA,2.0,Turbo Fan,0.0,5.0,1.0,172.0,178.0,Boeing767,Fort Dodge,Iowa,132.02247191011236,Boeing
20100507X70356,DCA10WA056,2010-05-07,"Sydney, Australia",Non-Fatal,N128UA,4.0,Turbo Fan,0.0,0.0,0.0,246.0,246.0,Boeing747,Sydney,Australia,100.0,Boeing
20100517X92932,ENG10IA029,2010-05-17,"Chantilly, VA",Non-Fatal,N510UA,2.0,Turbo Fan,0.0,0.0,0.0,112.0,112.0,Boeing757,Chantilly,Virginia,100.0,Boeing
20100522X50538,DCA10RA063,2010-05-22,"Manglaore, India",Fatal,VT-AXV,2.0,,158.0,0.0,7.0,1.0,166.0,Boeing737,Manglaore,India,2392.7710843373493,Boeing
20100525X31845,DCA10FA064,2010-05-25,"Southern Tip of Greenland, Denmark",Non-Fatal,N794UA,2.0,,0.0,0.0,2.0,209.0,211.0,Boeing777,Southern Tip Of Greenland,Denmark,101.89573459715639,Boeing
20100628X25535,DCA10WA071,2010-06-06,"Amsterdam Schiphol IAP, Netherlands (the)",Non-Fatal,CN-RMF,2.0,,0.0,0.0,0.0,162.0,162.0,Boeing737,Amsterdam Schiphol Iap,Netherlands (the),100.0,Boeing
20100714X03542,DCA10WA074,2010-06-07,"Girona, Spain",Non-Fatal,EI-DAX,,,0.0,0.0,1.0,167.0,168.0,Boeing737,Girona,Spain,101.19047619047619,Boeing
20100617X93422,ENG10WA035,2010-06-15,"Amsterdam, Netherlands, Netherlands (the)",Non-Fatal,G-YMMP,,,0.0,0.0,0.0,214.0,214.0,Boeing777,Amsterdam,"Netherlands, Netherlands (the)",100.0,Boeing
20100719X80209,DCA10FA076,2010-07-15,"Pacific Ocean,",Non-Fatal,N184DN,2.0,,0.0,0.0,1.0,201.0,202.0,Boeing767,Pacific Ocean,,100.99009900990099,Boeing
20100824X84240,DCA10WA086,2010-07-22,"Taipei, Taiwan (Province of China)",Non-Fatal,B-18612,2.0,,0.0,0.0,0.0,96.0,96.0,Boeing737,Taipei,Taiwan (Province of China),100.0,Boeing
20100806X53016,DCA10IA082,2010-08-04,"Chicago, IL",Non-Fatal,N644UA,2.0,Turbo Fan,0.0,6.0,0.0,184.0,190.0,Boeing767,Chicago,Illinois,134.73684210526315,Boeing
20100816X82039,DCA10RA085,2010-08-16,"San Andres Island, Colombia",Fatal,HK-4682,2.0,Turbo Fan,1.0,67.0,17.0,42.0,127.0,Boeing737,San Andres Island,Colombia,725.9842519685039,Boeing
20100901X01739,DCA10FA090,2010-08-17,"Dulles, VA",Non-Fatal,G-BNWU,2.0,,0.0,0.0,1.0,193.0,194.0,Boeing767,Dulles,Virginia,101.03092783505154,Boeing
20100908X20427,OPS10IA538,2010-09-04,"Los Angeles, CA",Non-Fatal,N907WN,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing737,Los Angeles,California,100.0,Boeing
20101004X00504,DCA11WA001,2010-10-02,"Amsterdam, Netherlands (the)",Non-Fatal,TC-TJF,,,0.0,0.0,0.0,173.0,173.0,Boeing737,Amsterdam,Netherlands (the),100.0,Boeing
20101027X04916,DCA11FA004,2010-10-27,"Miami, FL",Non-Fatal,N626AA,2.0,Turbo Fan,0.0,0.0,0.0,160.0,160.0,Boeing757,Miami,Florida,100.0,Boeing
20101031X30917,ERA11LA044,2010-10-29,"Fort Lauderdale, FL",Non-Fatal,C-FWAQ,2.0,Turbo Fan,0.0,0.0,0.0,142.0,142.0,Boeing737,Fort Lauderdale,Florida,100.0,Boeing
20101206X61618,DCA11WA010,2010-12-01,"Montreal, Canada",Non-Fatal,N901AN,2.0,Turbo Fan,0.0,0.0,0.0,111.0,111.0,Boeing737,Montreal,Canada,100.0,Boeing
20101203X90900,WPR11LA071,2010-12-03,"Pago Pago, Antarctica",Non-Fatal,N584HA,2.0,Turbo Fan,0.0,2.0,1.0,181.0,184.0,Boeing767,Pago Pago,Antarctica,113.04347826086956,Boeing
20101208X01208,ENG11WA006,2010-12-06,"Lisbon, Portugal, Portugal",Non-Fatal,D2-TEF,2.0,Turbo Fan,0.0,0.0,0.0,137.0,137.0,Boeing777,Lisbon,"Portugal, Portugal",100.0,Boeing
20110113X40141,DCA11WA017,2010-12-08,"Brasilia, Brazil",Non-Fatal,PR-WJU,,,0.0,0.0,0.0,125.0,125.0,Boeing737,Brasilia,Brazil,100.0,Boeing
20101210X92343,OPS11IA173,2010-12-09,"Covington, KY",Non-Fatal,N3731T,2.0,Turbo Jet,0.0,0.0,0.0,92.0,92.0,Boeing737,Covington,Kentucky,100.0,Boeing
20110113X40638,DCA11WA018,2010-12-13,"Rio De Janiero, Brazil",Non-Fatal,PR-WJO,2.0,,0.0,0.0,0.0,132.0,132.0,Boeing737,Rio De Janiero,Brazil,100.0,Boeing
20101220X14621,DCA11CA014,2010-12-18,"Philadelphia, PA",Non-Fatal,N913WN,2.0,Turbo Fan,0.0,0.0,0.0,222.0,222.0,Boeing737,Philadelphia,Pennsylvania,100.0,Boeing
20110105X33913,ENG11IA011,2010-12-25,"San Francisco, CA",Non-Fatal,N248WN,2.0,Turbo Fan,0.0,0.0,0.0,122.0,122.0,Boeing737,San Francisco,California,100.0,Boeing
20101229X22154,DCA11IA015,2010-12-29,"Jackson Hole, WY",Non-Fatal,N668AA,2.0,Turbo Fan,0.0,0.0,0.0,185.0,185.0,Boeing757,Jackson Hole,Wyoming,100.0,Boeing
20110502X93814,DCA11FA050,2011-01-03,"Los Angeles, CA",Non-Fatal,N831NN,2.0,Turbo Fan,0.0,0.0,0.0,165.0,165.0,Boeing737,Los Angeles,California,100.0,Boeing
20110214X93523,DCA11WA026,2011-01-14,"Atlantic Ocean, Canada",Non-Fatal,C-GHLQ,2.0,,0.0,8.0,7.0,88.0,103.0,Boeing767,Atlantic Ocean,Canada,199.02912621359224,Boeing
20110218X13630,WPR11LA139,2011-02-10,"Ni'ihau, HI",Non-Fatal,JA603J,2.0,Turbo Jet,0.0,6.0,1.0,243.0,250.0,Boeing767,Ni'Ihau,Hawaii,127.2,Boeing
20110222X14949,DCA11WA028,2011-02-14,"Pekanbaru, Indonesia",Non-Fatal,PK-LFI,2.0,,0.0,0.0,0.0,216.0,216.0,Boeing737,Pekanbaru,Indonesia,100.0,Boeing
20110222X15822,DCA11WA029,2011-02-15,"Pekanbaru, Indonesia",Non-Fatal,PK-LHH,2.0,,0.0,0.0,0.0,226.0,226.0,Boeing737,Pekanbaru,Indonesia,100.0,Boeing
20110317X95254,DCA11WA033,2011-02-16,"Madinah, Saudi Arabia",Non-Fatal,HZ-AIS,,,0.0,0.0,0.0,278.0,278.0,Boeing747,Madinah,Saudi Arabia,100.0,Boeing
20110222X20316,CEN11IA198,2011-02-21,"Southlake, TX",Non-Fatal,N945AN,2.0,Turbo Fan,0.0,0.0,0.0,145.0,145.0,Boeing737,Southlake,Texas,100.0,Boeing
20110919X53553,ENG11WA049,2011-02-21,"Casablanca, Morocco, Macao",Non-Fatal,CN-ROR,2.0,,0.0,0.0,0.0,110.0,110.0,Boeing737,Casablanca,"Morocco, Macao",100.0,Boeing
20110228X54428,WPR11LA149,2011-02-28,"Naches, WA",Non-Fatal,N684DA,2.0,Turbo Fan,0.0,1.0,1.0,188.0,190.0,Boeing757,Naches,Washington,106.84210526315789,Boeing
20110324X53002,OPS11IA410,2011-03-11,"ATLANTA, GA",Non-Fatal,N693DL,2.0,Turbo Fan,0.0,0.0,0.0,130.0,130.0,Boeing757,Atlanta,Georgia,100.0,Boeing
20110330X05145,OPS11IA428,2011-03-27,"Orlando, FL",Non-Fatal,N293WN,2.0,Turbo Fan,0.0,0.0,0.0,145.0,145.0,Boeing737,Orlando,Florida,100.0,Boeing
20110401X24330,DCA11MA039,2011-04-01,"Yuma, AZ",Non-Fatal,N632SW,2.0,Turbo Fan,0.0,2.0,0.0,120.0,122.0,Boeing737,Yuma,Arizona,118.0327868852459,Boeing
20110407X41107,DCA11WA041,2011-04-04,"Bucharest, Romania",Non-Fatal,YR-BGD,2.0,,0.0,0.0,0.0,83.0,83.0,Boeing737,Bucharest,Romania,100.0,Boeing
20110408X50236,DCA11WA042,2011-04-07,"Hamburg, Germany",Non-Fatal,D-ABEH,2.0,,0.0,0.0,0.0,86.0,86.0,Boeing737,Hamburg,Germany,100.0,Boeing
20110411X70103,DCA11WA043,2011-04-10,"Paris, France",Non-Fatal,C-FIVM,,,0.0,0.0,0.0,361.0,361.0,Boeing777,Paris,France,100.0,Boeing
20110418X12310,WPR11LA203,2011-04-11,"Pacific Ocean,",Non-Fatal,N766AN,2.0,Turbo Fan,0.0,2.0,2.0,227.0,231.0,Boeing777,Pacific Ocean,,111.25541125541125,Boeing
20110417X11718,ERA11CA247,2011-04-17,"Cheltenham, MD",Non-Fatal,N200UU,2.0,Turbo Fan,0.0,0.0,1.0,185.0,186.0,Boeing757,Cheltenham,Maryland,101.0752688172043,Boeing
20110426X53639,DCA11IA047,2011-04-26,"Chicago, IL",Non-Fatal,N799SW,2.0,Turbo Fan,0.0,0.0,0.0,139.0,139.0,Boeing737,Chicago,Illinois,100.0,Boeing
20110513X41407,ERA11CA296,2011-05-12,"Atlanta, GA",Non-Fatal,N308DE,2.0,Turbo Fan,0.0,0.0,0.0,298.0,298.0,Boeing737,Atlanta,Georgia,100.0,Boeing
20110525X44500,DCA11WA061,2011-05-12,"Tao-Yuan, Taiwan (Province of China)",Non-Fatal,B-17917,2.0,,0.0,0.0,0.0,101.0,101.0,Boeing90,Tao-Yuan,Taiwan (Province of China),100.0,Boeing
20110525X45514,DCA11WA062,2011-05-20,"Dublin, Ireland",Non-Fatal,EI-DLI,2.0,,0.0,0.0,0.0,66.0,66.0,Boeing737,Dublin,Ireland,100.0,Boeing
20110525X42547,DCA11CA060,2011-05-23,"Boone, NC",Non-Fatal,N623DL,2.0,Turbo Fan,0.0,1.0,1.0,185.0,187.0,Boeing757,Boone,North Carolina,106.95187165775401,Boeing
20110701X11957,WPR11LA300,2011-05-31,"Los Angeles, CA",Non-Fatal,N526UA,2.0,Turbo Fan,0.0,0.0,0.0,190.0,190.0,Boeing757,Los Angeles,California,100.0,Boeing
20110621X32040,DCA11CA073,2011-06-12,"San Fransico, CA",Non-Fatal,N571UA,2.0,Turbo Jet,0.0,0.0,0.0,190.0,190.0,Boeing757,San Fransico,California,100.0,Boeing
20110621X20741,ENG11IA035,2011-06-21,"Atlanta, GA",Non-Fatal,N6714Q,2.0,Turbo Fan,0.0,3.0,0.0,175.0,178.0,Boeing757,Atlanta,Georgia,118.53932584269661,Boeing
20110711X20245,DCA11RA080,2011-07-08,"Kisangani, Central Africa",Fatal,9Q-COP,3.0,,77.0,0.0,0.0,35.0,112.0,Boeing727,Kisangani,Central Africa,1750.0,Boeing
20110719X64022,DCA11WA088,2011-07-26,"PEMIR, Latvia",Non-Fatal,YL-BBR,,,0.0,0.0,0.0,144.0,144.0,Boeing737,Pemir,Latvia,100.0,Boeing
20110729X51123,DCA11WA090,2011-07-29,"Cairo, Egypt",Non-Fatal,SU-GBP,2.0,,0.0,0.0,0.0,319.0,319.0,Boeing777,Cairo,Egypt,100.0,Boeing
20110730X60307,DCA11FA091,2011-07-29,"Tangshan, China",Non-Fatal,N173UA,4.0,Turbo Fan,0.0,4.0,1.0,380.0,385.0,Boeing747,Tangshan,China,111.94805194805195,Boeing
20110730X61108,DCA11RA092,2011-07-30,"Georgetown, Guyana",Non-Fatal,9Y-PBM,2.0,,0.0,0.0,1.0,161.0,162.0,Boeing737,Georgetown,Guyana,101.23456790123457,Boeing
20120224X42146,DCA11CA116,2011-09-06,"Cape Coral, FL",Non-Fatal,N936WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing737,Cape Coral,Florida,101.40845070422534,Boeing
20111013X11758,DCA11WA110,2011-09-12,"Montauk, AO",Non-Fatal,OE-LPB,,,0.0,0.0,2.0,272.0,274.0,Boeing777,Montauk,AO,101.45985401459853,Boeing
20110927X91721,ENG11IA051,2011-09-26,"Denver, CO",Non-Fatal,N526UA,2.0,Turbo Fan,0.0,0.0,0.0,185.0,185.0,Boeing757,Denver,Colorado,100.0,Boeing
20111001X72953,DCA11WA107,2011-09-26,"Puerto Ordaz, Venezuela",Non-Fatal,YV-136T,,Turbo Jet,0.0,0.0,0.0,130.0,130.0,Boeing9,Puerto Ordaz,Venezuela,100.0,Boeing
20110930X20857,ERA11CA511,2011-09-29,"Miami, FL",Non-Fatal,N804NN,2.0,Turbo Fan,0.0,0.0,1.0,165.0,166.0,Boeing737,Miami,Florida,101.20481927710843,Boeing
20111011X01145,ENG12IA001,2011-10-10,"Atlanta, GA",Non-Fatal,N553NW,2.0,Turbo Jet,0.0,0.0,0.0,182.0,182.0,Boeing757,Atlanta,Georgia,100.0,Boeing
20111020X14740,ERA12CA044,2011-10-20,"New York, NY",Non-Fatal,N253AY,2.0,Turbo Jet,0.0,0.0,1.0,215.0,216.0,Boeing767,New York,New York,100.92592592592592,Boeing
20111024X74546,ENG12IA003,2011-10-23,"Detroit, MI",Non-Fatal,N661US,4.0,Turbo Jet,0.0,0.0,0.0,394.0,394.0,Boeing747,Detroit,Michigan,100.0,Boeing
20111103X41530,DCA12WA009,2011-11-01,"Warsaw, Poland",Non-Fatal,SP-LPC,,,0.0,0.0,0.0,231.0,231.0,Boeing767,Warsaw,Poland,100.0,Boeing
20111108X75705,DCA12WA011,2011-11-03,"Munich, Germany",Non-Fatal,9V-SWQ,2.0,,0.0,0.0,0.0,129.0,129.0,Boeing777,Munich,Germany,100.0,Boeing
20111208X41332,WPR12LA057,2011-12-01,"Modesto, CA",Non-Fatal,N547UA,2.0,Turbo Jet,0.0,0.0,1.0,151.0,152.0,Boeing757,Modesto,California,101.3157894736842,Boeing
20111209X35527,OPS12IA167,2011-12-01,"Chicago, IL",Non-Fatal,N432WN,2.0,Turbo Fan,0.0,0.0,0.0,85.0,85.0,Boeing737,Chicago,Illinois,100.0,Boeing
20111206X05636,WPR12LA053,2011-12-02,"Oakland, CA",Non-Fatal,N261WN,2.0,Turbo Fan,0.0,2.0,1.0,97.0,100.0,Boeing737,Oakland,California,124.0,Boeing
20111214X53854,DCA12CA021,2011-12-09,"Atlanta, GA",Non-Fatal,N303DQ,2.0,Turbo Fan,0.0,0.0,0.0,279.0,279.0,Boeing737,Atlanta,Georgia,100.0,Boeing
20111222X45448,DCA12WA022,2011-12-20,"Yogyakarta, Indonesia",Non-Fatal,PK-CKM,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing737,Yogyakarta,Indonesia,100.0,Boeing
20120105X34138,CEN12IA123,2011-12-22,"Denver, CO",Non-Fatal,N469WN,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing737,Denver,Colorado,100.0,Boeing
20120123X64443,DCA12WA027,2012-01-14,"Rio de Janeiro, Brazil",Non-Fatal,N790AN,,,0.0,0.0,0.0,191.0,191.0,Boeing777,Rio De Janeiro,Brazil,100.0,Boeing
20120118X91324,ERA12LA147,2012-01-16,"Huntington, WV",Non-Fatal,N839EX,2.0,Turbo Prop,0.0,0.0,0.0,36.0,36.0,Boeing8,Huntington,West Virginia,100.0,Boeing
20120208X70842,ENG12IA010,2012-02-08,"Jamaica, NY",Non-Fatal,N360AA,2.0,Turbo Fan,0.0,0.0,0.0,210.0,210.0,Boeing767,Jamaica,New York,100.0,Boeing
20120221X32033,CEN12LA166,2012-02-19,"Detroit, MI",Non-Fatal,N374DA,2.0,Turbo Fan,0.0,3.0,1.0,132.0,136.0,Boeing737,Detroit,Michigan,125.73529411764706,Boeing
20120229X70237,WPR12LA119,2012-02-23,"Pawnee, NE",Non-Fatal,N915WN,2.0,Turbo Fan,0.0,1.0,1.0,138.0,140.0,Boeing737,Pawnee,Nebraska,109.28571428571428,Boeing
20120302X00956,DCA12CA045,2012-02-26,"Angers, France",Non-Fatal,N829MH,2.0,Turbo Fan,0.0,0.0,1.0,146.0,147.0,Boeing767,Angers,France,101.36054421768708,Boeing
20120322X25316,WPR12LA144,2012-03-20,"Laverne, OK",Non-Fatal,N247WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing737,Laverne,Oklahoma,101.40845070422534,Boeing
20120427X01955,DCA12RA065,2012-04-20,"Islamabad, Pakistan",Fatal,AP-BKC,2.0,,127.0,0.0,0.0,0.0,127.0,Boeing737,Islamabad,Pakistan,2500.0,Boeing
20130110X10345,DCA12WA161,2012-04-22,"Karachi, Pakistan",Non-Fatal,AP-BJN,2.0,,0.0,0.0,0.0,171.0,171.0,Boeing737,Karachi,Pakistan,100.0,Boeing
20120615X74656,DCA12WA093,2012-06-01,"Pontianak, Indonesia",Non-Fatal,PKCJV,,,0.0,0.0,0.0,173.0,173.0,Boeing737,Pontianak,Indonesia,100.0,Boeing
20120608X43116,DCA12CA086,2012-06-07,"Philadelphia, PA",Non-Fatal,N936UW,2.0,Turbo Fan,0.0,1.0,1.0,184.0,186.0,Boeing757,Philadelphia,Pennsylvania,106.98924731182795,Boeing
20120613X32202,DCA12LA091,2012-06-13,"Winnie, TX",Non-Fatal,N16709,2.0,Turbo Fan,0.0,0.0,2.0,79.0,81.0,Boeing737,Winnie,Texas,104.93827160493827,Boeing
20120706X92817,DCA12WA104,2012-07-05,"Frankfurt, Germany",Non-Fatal,D-ASXE,,,0.0,0.0,1.0,85.0,86.0,Boeing737,Frankfurt,Germany,102.32558139534885,Boeing
20120713X01334,DCA12WA109,2012-07-05,"Tokyo, Japan",Non-Fatal,N224UA,2.0,Turbo Fan,0.0,3.0,1.0,252.0,256.0,Boeing777,Tokyo,Japan,113.671875,Boeing
20120808X23954,DCA12WA121,2012-07-18,"La Serena, Chile",Non-Fatal,CC-CRQ,,,0.0,0.0,0.0,120.0,120.0,Boeing737,La Serena,Chile,100.0,Boeing
20120727X13551,DCA12IA113,2012-07-27,"El Paso, TX",Non-Fatal,N379SW,2.0,Turbo Fan,0.0,0.0,0.0,76.0,76.0,Boeing737,El Paso,Texas,100.0,Boeing
20120730X60929,DCA12WA117,2012-07-28,"Linz, Austria",Non-Fatal,D-ABOK,,,0.0,0.0,0.0,273.0,273.0,Boeing757,Linz,Austria,100.0,Boeing
20120802X03552,CEN12IA502,2012-07-31,"Denver, CO",Non-Fatal,N37420,2.0,Turbo Fan,0.0,0.0,0.0,157.0,157.0,Boeing737,Denver,Colorado,100.0,Boeing
20120830X44613,DCA12WA131,2012-08-27,"London, United Kingdom",Non-Fatal,N642UA,,,0.0,0.0,0.0,151.0,151.0,Boeing767,London,United Kingdom,100.0,Boeing
20120915X93442,DCA12WA146,2012-09-14,"Sao Paulo, Brazil",Non-Fatal,N173DZ,2.0,Turbo Fan,0.0,0.0,0.0,220.0,220.0,Boeing767,Sao Paulo,Brazil,100.0,Boeing
20121005X05550,CEN13LA004,2012-10-05,"Milwaukee, WI",Non-Fatal,N894AT,2.0,Turbo Fan,0.0,0.0,0.0,108.0,108.0,Boeing717,Milwaukee,Wisconsin,100.0,Boeing
20121014X02447,DCA13RA001,2012-10-14,"Antalya, Turkey",Non-Fatal,TC-TJK,,,0.0,1.0,2.0,195.0,198.0,Boeing737,Antalya,Turkey,107.57575757575756,Boeing
20121018X62210,WPR13CA016,2012-10-17,"Las Vegas, NV",Non-Fatal,N625SW,2.0,Turbo Fan,0.0,0.0,1.0,85.0,86.0,Boeing737,Las Vegas,Nevada,102.32558139534885,Boeing
20121023X21517,DCA13WA007,2012-10-19,"Pontianak, Indonesia",Non-Fatal,PK-CKN,,,0.0,0.0,0.0,160.0,160.0,Boeing737,Pontianak,Indonesia,100.0,Boeing
20121107X21801,ENG13IA005,2012-11-07,"Atlanta, GA",Non-Fatal,N908DE,2.0,Turbo Jet,0.0,0.0,0.0,147.0,147.0,Boeing88,Atlanta,Georgia,100.0,Boeing
20121114X82049,DCA13WA020,2012-11-13,"Johannesburg, South Africa",Non-Fatal,ZS-TOG,,,0.0,0.0,0.0,137.0,137.0,Boeing82,Johannesburg,South Africa,100.0,Boeing
20130116X93016,DCA13RA038,2013-01-15,"Takamatsu, Japan",Non-Fatal,JA804A,2.0,,0.0,4.0,0.0,133.0,137.0,Boeing787,Takamatsu,Japan,132.1167883211679,Boeing
20130213X92000,DCA13WA054,2013-02-03,"Seoul, South Korea",Non-Fatal,HL7780,2.0,,0.0,0.0,0.0,193.0,193.0,Boeing737,Seoul,South Korea,100.0,Boeing
20130220X51849,WPR13LA131,2013-02-19,"Pacific Ocean, UN",Non-Fatal,N174UA,4.0,Turbo Fan,0.0,0.0,1.0,220.0,221.0,Boeing747,Pacific Ocean,UN,100.90497737556561,Boeing
20130228X52911,DCA13WA060,2013-02-26,"Keflavik, Iceland",Non-Fatal,TF-FIJ,,,0.0,0.0,0.0,171.0,171.0,Boeing757,Keflavik,Iceland,100.0,Boeing
20130314X14422,DCA13CA065,2013-03-08,"Atlanta, GA",Non-Fatal,N698DL,2.0,Turbo Fan,0.0,0.0,0.0,148.0,148.0,Boeing757,Atlanta,Georgia,100.0,Boeing
20130511X04905,WPR13IA226,2013-05-10,"Phoenix, AZ",Non-Fatal,N913WN,2.0,Turbo Fan,0.0,0.0,0.0,59.0,59.0,Boeing737,Phoenix,Arizona,100.0,Boeing
20130528X00922,ENG13WA030,2013-05-25,"Moscow, Russia",Non-Fatal,EI-UNW,,,0.0,0.0,0.0,235.0,235.0,Boeing777,Moscow,Russia,100.0,Boeing
20130707X83745,DCA13MA120,2013-07-06,"San Francisco, CA",Fatal,HL7742,2.0,Turbo Fan,3.0,137.0,50.0,117.0,307.0,Boeing777,San Francisco,California,646.9055374592834,Boeing
20130712X61436,DCA13CA128,2013-07-12,"Atlanta, GA",Non-Fatal,N863DA,2.0,Turbo Jet,0.0,0.0,1.0,278.0,279.0,Boeing777,Atlanta,Georgia,100.71684587813621,Boeing
20130723X13256,DCA13FA131,2013-07-22,"Flushing, NY",Non-Fatal,N753SW,2.0,Turbo Fan,0.0,8.0,0.0,141.0,149.0,Boeing737,Flushing,New York,159.06040268456377,Boeing
20130814X24242,DCA13WA134,2013-07-31,"Batopilas, Mexico",Non-Fatal,N173AT,,,0.0,14.0,1.0,130.0,145.0,Boeing737,Batopilas,Mexico,207.58620689655172,Boeing
20131121X13345,DCA14CA014,2013-10-18,"Houston, TX",Non-Fatal,N665UA,2.0,Turbo Fan,0.0,0.0,1.0,227.0,228.0,Boeing767,Houston,Texas,100.87719298245614,Boeing
20131028X02723,DCA14WA005,2013-10-22,"Providenciales, Tokelau",Non-Fatal,N605AA,2.0,Turbo Fan,0.0,0.0,0.0,176.0,176.0,Boeing757,Providenciales,Tokelau,100.0,Boeing
20131205X11728,DCA14WA019,2013-12-05,"Madrid, Spain",Non-Fatal,N182DN,,,0.0,0.0,0.0,203.0,203.0,Boeing767,Madrid,Spain,100.0,Boeing
20131224X22946,ENG14IA005,2013-12-23,"St. Louis, MO",Non-Fatal,N360SW,2.0,Turbo Fan,0.0,0.0,0.0,107.0,107.0,Boeing737,St. Louis,Missouri,100.0,Boeing
