Event.Id,Accident.Number,Event.Date,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,People.Count,City,Region,Latitude,Longitude
2.02205E+13,ENG22WA026,4/8/22,Non-Fatal,HS-VKC,2.0,,0,0,0,132,Airbus: A320,132,Tambon Nong Prue,Thailand,13.667787,100.785941
2.02205E+13,DCA22WA122,5/6/22,Non-Fatal,YR-BMM,,,0,0,0,154,Boeing: 737,154,Naples,Italy,40.901975,14.332644
2.02205E+13,DCA22WA123,5/6/22,Non-Fatal,9V-MGL,,,0,0,0,173,Boeing: 737,173,Kathmandu,,27.717245,85.323961
2.02206E+13,DCA22LA134,5/22/22,Minor,N256WN,2.0,Turbo Fan,0,1,0,66,Boeing: 737-700,67,Tacoma,Washington,47.2431,-122.4531
2.02206E+13,DCA22LA125,5/25/22,Serious,N483UA,2.0,,0,0,1,151,Airbus: A320-232,152,Springfield,Missouri,42.1155,-72.5395
2.02208E+13,DCA22WA190,5/27/22,Serious,A6-BLF,,,0,6,1,121,Boeing: 787-900,128,Lahore,Pakistan,31.52037,74.358747
2.02206E+13,ENG22WA032,6/14/22,Non-Fatal,A7-BEA,,,0,0,0,183,Boeing: 777,183,Karachi,,24.860734,67.001136
2.02206E+13,DCA22FA132,6/21/22,Minor,HI-1064,,,0,4,0,136,Mcdonnell Douglas: MD80,140,Miami,Florida,25.784,-80.2101
2.02206E+13,DCA22LA133,6/21/22,Non-Fatal,N37513,2.0,,0,0,0,174,Boeing: 737-9,174,Pittsburgh,Pennsylvania,40.4397,-79.9763
2.02206E+13,DCA22WA136,6/25/22,Non-Fatal,G-JZBC,,,0,0,0,195,Boeing: 800,195,Dubrovnik,Croatia,42.650661,18.094424
2.02206E+13,DCA22WA137,6/25/22,Non-Fatal,SU-GCZ,,,0,0,0,134,Boeing: 800,134,Cairo,,30.04442,31.235712
2.02207E+13,DCA22LA151,7/2/22,Serious,N480WN,2.0,Turbo Fan,0,0,1,141,Boeing: 737-700,142,Santa Ana,California,33.7367,-117.8819
2.02207E+13,DCA22WA152,7/16/22,Serious,JA807X,,,0,0,1,132,Boeing: 737,133,Naha,Japan,26.212576,127.679021
2.02207E+13,ENG22WA035,7/25/22,Non-Fatal,N562AV,2.0,,0,0,0,178,Airbus: A320-214,178,Bogota,Colombia,4.710989,-74.072092
2.02207E+13,DCA22WA164,7/30/22,Non-Fatal,HS-DBR,,,0,0,0,175,Boeing: 737-800,175,Chiang Rai,Thailand,19.873742,99.723267
2.02208E+13,DCA22LA188,8/19/22,Serious,N73270,2.0,,0,0,1,169,Boeing: 737-824,170,Pharisburg,Ohio,40.344608,-83.306091
2.02209E+13,DCA22LA191,8/29/22,Serious,N946AT,2.0,,0,0,1,101,Boeing: 717-200,102,Detroit,Michigan,42.3834,-83.1024
2.02209E+13,DCA22LA212,9/22/22,Non-Fatal,N393HA,2.0,,0,0,0,290,Airbus: A330-243,290,Los Angeles,California,34.1141,-118.4068
2.0221E+13,DCA23WA002,10/1/22,Non-Fatal,HZ-AK28,,,0,0,0,368,Boeing: 777,368,Manila,,35.8847,-90.1652
2.0221E+13,DCA23WA012,10/3/22,Minor,JA07RK,2.0,,0,1,0,105,Boeing: 737,106,Komatsu,Japan,36.408421,136.445853
2.02211E+13,DCA23LA050,11/10/22,Serious,N316SE,2.0,,0,0,1,147,Boeing: 737-8,148,Miami,Florida,25.784,-80.2101
