Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region
20111001X72953,DCA11WA107,2011-09-26,"Puerto Ordaz, Venezuela",Non-Fatal,YV-136T,,Turbo Jet,0.0,0.0,0.0,130.0,130.0,Boeing: DC-9,Puerto Ordaz,Venezuela
20110930X20857,ERA11CA511,2011-09-29,"Miami, FL",Non-Fatal,N804NN,2.0,Turbo Fan,0.0,0.0,1.0,165.0,166.0,Boeing: 737-823,Miami,Florida
20111018X03714,ERA12CA038,2011-10-07,"Atlanta, GA",Non-Fatal,N922DL,2.0,Turbo Fan,0.0,0.0,0.0,81.0,81.0,Mcdonnell Douglas: MD-88,Atlanta,Georgia
20111011X01145,ENG12IA001,2011-10-10,"Atlanta, GA",Non-Fatal,N553NW,2.0,Turbo Jet,0.0,0.0,0.0,182.0,182.0,Boeing: 757-251,Atlanta,Georgia
20111020X14740,ERA12CA044,2011-10-20,"New York, NY",Non-Fatal,N253AY,2.0,Turbo Jet,0.0,0.0,1.0,215.0,216.0,Boeing: 767-2B7,New York,New York
20111024X74546,ENG12IA003,2011-10-23,"Detroit, MI",Non-Fatal,N661US,4.0,Turbo Jet,0.0,0.0,0.0,394.0,394.0,Boeing: 747-451,Detroit,Michigan
20111103X41530,DCA12WA009,2011-11-01,"Warsaw, Poland",Non-Fatal,SP-LPC,,,0.0,0.0,0.0,231.0,231.0,Boeing: 767,Warsaw,Poland
20111108X75705,DCA12WA011,2011-11-03,"Munich, Germany",Non-Fatal,9V-SWQ,2.0,,0.0,0.0,0.0,129.0,129.0,Boeing: 777,Munich,Germany
20120224X25922,DCA12CA043,2011-11-10,"Minneapolis, MN",Non-Fatal,N331NW,2.0,Turbo Fan,0.0,0.0,0.0,150.0,150.0,Airbus: A320 211,Minneapolis,Minnesota
20111201X31832,OPS12WA150,2011-11-18,"Toronto, Canada",Non-Fatal,N620AE,2.0,Turbo Fan,0.0,0.0,0.0,48.0,48.0,Embraer: EMB-145LR,Toronto,Canada
20111208X41332,WPR12LA057,2011-12-01,"Modesto, CA",Non-Fatal,N547UA,2.0,Turbo Jet,0.0,0.0,1.0,151.0,152.0,Boeing: 757-222,Modesto,California
20111209X35527,OPS12IA167,2011-12-01,"Chicago, IL",Non-Fatal,N432WN,2.0,Turbo Fan,0.0,0.0,0.0,85.0,85.0,Boeing: 737-7H4,Chicago,Illinois
20111206X05636,WPR12LA053,2011-12-02,"Oakland, CA",Non-Fatal,N261WN,2.0,Turbo Fan,0.0,2.0,1.0,97.0,100.0,Boeing: 737-7H4,Oakland,California
20111214X53854,DCA12CA021,2011-12-09,"Atlanta, GA",Non-Fatal,N303DQ,2.0,Turbo Fan,0.0,0.0,0.0,279.0,279.0,Boeing: 737-732,Atlanta,Georgia
20111222X45448,DCA12WA022,2011-12-20,"Yogyakarta, Indonesia",Non-Fatal,PK-CKM,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing: 737,Yogyakarta,Indonesia
20120105X34138,CEN12IA123,2011-12-22,"Denver, CO",Non-Fatal,N469WN,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing: 737-7H4,Denver,Colorado
20120123X64443,DCA12WA027,2012-01-14,"Rio de Janeiro, Brazil",Non-Fatal,N790AN,,,0.0,0.0,0.0,191.0,191.0,Boeing: 777,Rio De Janeiro,Brazil
20120118X91324,ERA12LA147,2012-01-16,"Huntington, WV",Non-Fatal,N839EX,2.0,Turbo Prop,0.0,0.0,0.0,36.0,36.0,Boeing: DHC-8-102,Huntington,West Virginia
20120207X14951,OPS12IA303,2012-01-25,"Farmersville, TX",Non-Fatal,N639AE,2.0,Turbo Fan,0.0,0.0,0.0,53.0,53.0,Embraer: EMB-145LR,Farmersville,Texas
20120207X34555,DCA12CA035,2012-02-04,"San Francisco, CA",Non-Fatal,N912SW,2.0,Turbo Fan,0.0,0.0,0.0,52.0,52.0,Bombardier: CL600 2B19,San Francisco,California
20120208X70842,ENG12IA010,2012-02-08,"Jamaica, NY",Non-Fatal,N360AA,2.0,Turbo Fan,0.0,0.0,0.0,210.0,210.0,Boeing: 767,Jamaica,New York
20120221X32033,CEN12LA166,2012-02-19,"Detroit, MI",Non-Fatal,N374DA,2.0,Turbo Fan,0.0,3.0,1.0,132.0,136.0,Boeing: 737-832,Detroit,Michigan
20120229X70237,WPR12LA119,2012-02-23,"Pawnee, NE",Non-Fatal,N915WN,2.0,Turbo Fan,0.0,1.0,1.0,138.0,140.0,Boeing: 737-7H4,Pawnee,Nebraska
20120302X22622,DCA12FA046,2012-02-24,"Millville, NJ",Non-Fatal,N162UW,2.0,Turbo Fan,0.0,0.0,1.0,188.0,189.0,Airbus: A321,Millville,New Jersey
20120302X00956,DCA12CA045,2012-02-26,"Angers, France",Non-Fatal,N829MH,2.0,Turbo Fan,0.0,0.0,1.0,146.0,147.0,Boeing: 767,Angers,France
20120322X25316,WPR12LA144,2012-03-20,"Laverne, OK",Non-Fatal,N247WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing: 737-7H4,Laverne,Oklahoma
20120409X05702,DCA12FA058,2012-04-07,"Houston, TX",Non-Fatal,N213WQ,2.0,Turbo Prop,0.0,0.0,0.0,35.0,35.0,Bombardier: DHC-8-402,Houston,Texas
20120417X44353,DCA12CA062,2012-04-15,"Buena Vista, CO",Non-Fatal,N808AW,2.0,Turbo Jet,0.0,1.0,2.0,95.0,98.0,Airbus: A319-132,Buena Vista,Colorado
